date,menu boda,menú vegano,isPartial
2018-01-07,13,0,False
2018-01-14,14,0,False
2018-01-21,14,0,False
2018-01-28,13,0,False
2018-02-04,20,0,False
2018-02-11,28,0,False
2018-02-18,0,0,False
2018-02-25,13,0,False
2018-03-04,13,0,False
2018-03-11,13,0,False
2018-03-18,0,0,False
2018-03-25,22,0,False
2018-04-01,20,0,False
2018-04-08,26,0,False
2018-04-15,21,0,False
2018-04-22,13,0,False
2018-04-29,14,0,False
2018-05-06,14,0,False
2018-05-13,35,0,False
2018-05-20,34,0,False
2018-05-27,14,0,False
2018-06-03,54,0,False
2018-06-10,20,0,False
2018-06-17,14,0,False
2018-06-24,28,0,False
2018-07-01,21,0,False
2018-07-08,27,0,False
2018-07-15,100,0,False
2018-07-22,14,0,False
2018-07-29,27,0,False
2018-08-05,13,0,False
2018-08-12,27,0,False
2018-08-19,0,0,False
2018-08-26,27,0,False
2018-09-02,27,0,False
2018-09-09,46,0,False
2018-09-16,27,0,False
2018-09-23,13,0,False
2018-09-30,0,0,False
2018-10-07,14,0,False
2018-10-14,0,0,False
2018-10-21,13,0,False
2018-10-28,14,0,False
2018-11-04,26,0,False
2018-11-11,13,0,False
2018-11-18,25,0,False
2018-11-25,13,0,False
2018-12-02,29,0,False
2018-12-09,28,0,False
2018-12-16,0,0,False
2018-12-23,16,0,False
2018-12-30,15,0,False
2019-01-06,0,0,False
2019-01-13,13,0,False
2019-01-20,0,0,False
2019-01-27,0,0,False
2019-02-03,0,0,False
2019-02-10,13,0,False
2019-02-17,0,0,False
2019-02-24,28,0,False
2019-03-03,14,0,False
2019-03-10,14,0,False
2019-03-17,14,0,False
2019-03-24,27,0,False
2019-03-31,13,0,False
2019-04-07,20,0,False
2019-04-14,33,0,False
2019-04-21,13,0,False
2019-04-28,27,0,False
2019-05-05,14,0,False
2019-05-12,14,0,False
2019-05-19,13,0,False
2019-05-26,33,0,False
2019-06-02,0,0,False
2019-06-09,39,0,False
2019-06-16,61,0,False
2019-06-23,20,0,False
2019-06-30,20,0,False
2019-07-07,27,0,False
2019-07-14,27,0,False
2019-07-21,34,0,False
2019-07-28,0,0,False
2019-08-04,40,0,False
2019-08-11,20,0,False
2019-08-18,0,0,False
2019-08-25,25,0,False
2019-09-01,0,0,False
2019-09-08,25,0,False
2019-09-15,12,0,False
2019-09-22,13,0,False
2019-09-29,13,0,False
2019-10-06,38,0,False
2019-10-13,12,0,False
2019-10-20,12,0,False
2019-10-27,0,0,False
2019-11-03,12,0,False
2019-11-10,24,0,False
2019-11-17,0,0,False
2019-11-24,0,0,False
2019-12-01,0,0,False
2019-12-08,25,0,False
2019-12-15,0,0,False
2019-12-22,13,0,False
2019-12-29,13,0,False
2020-01-05,12,0,False
2020-01-12,11,0,False
2020-01-19,0,0,False
2020-01-26,17,0,False
2020-02-02,12,0,False
2020-02-09,23,0,False
2020-02-16,11,0,False
2020-02-23,0,0,False
2020-03-01,11,0,False
2020-03-08,11,0,False
2020-03-15,10,0,False
2020-03-22,0,0,False
2020-03-29,0,0,False
2020-04-05,0,0,False
2020-04-12,10,0,False
2020-04-19,0,0,False
2020-04-26,0,0,False
