date,streichen,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,30,False
2018-01-28,30,False
2018-02-04,58,False
2018-02-11,0,False
2018-02-18,42,False
2018-02-25,0,False
2018-03-04,29,False
2018-03-11,0,False
2018-03-18,47,False
2018-03-25,32,False
2018-04-01,35,False
2018-04-08,36,False
2018-04-15,92,False
2018-04-22,73,False
2018-04-29,75,False
2018-05-06,76,False
2018-05-13,35,False
2018-05-20,0,False
2018-05-27,72,False
2018-06-03,35,False
2018-06-10,65,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,95,False
2018-07-08,0,False
2018-07-15,48,False
2018-07-22,32,False
2018-07-29,32,False
2018-08-05,61,False
2018-08-12,32,False
2018-08-19,63,False
2018-08-26,0,False
2018-09-02,34,False
2018-09-09,34,False
2018-09-16,35,False
2018-09-23,0,False
2018-09-30,34,False
2018-10-07,0,False
2018-10-14,36,False
2018-10-21,36,False
2018-10-28,0,False
2018-11-04,36,False
2018-11-11,36,False
2018-11-18,36,False
2018-11-25,35,False
2018-12-02,0,False
2018-12-09,34,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,30,False
2019-01-20,87,False
2019-01-27,58,False
2019-02-03,29,False
2019-02-10,30,False
2019-02-17,56,False
2019-02-24,28,False
2019-03-03,55,False
2019-03-10,28,False
2019-03-17,32,False
2019-03-24,33,False
2019-03-31,34,False
2019-04-07,49,False
2019-04-14,0,False
2019-04-21,36,False
2019-04-28,0,False
2019-05-05,34,False
2019-05-12,50,False
2019-05-19,49,False
2019-05-26,33,False
2019-06-02,33,False
2019-06-09,98,False
2019-06-16,32,False
2019-06-23,100,False
2019-06-30,0,False
2019-07-07,30,False
2019-07-14,47,False
2019-07-21,31,False
2019-07-28,58,False
2019-08-04,0,False
2019-08-11,29,False
2019-08-18,30,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,32,False
2019-09-22,31,False
2019-09-29,29,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,78,False
2019-10-27,0,False
2019-11-03,62,False
2019-11-10,31,False
2019-11-17,47,False
2019-11-24,46,False
2019-12-01,62,False
2019-12-08,29,False
2019-12-15,29,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,26,False
2020-01-12,25,False
2020-01-19,51,False
2020-01-26,24,False
2020-02-02,23,False
2020-02-09,24,False
2020-02-16,23,False
2020-02-23,0,False
2020-03-01,36,False
2020-03-08,0,False
2020-03-15,27,False
2020-03-22,77,False
2020-03-29,39,False
2020-04-05,30,False
2020-04-12,84,False
2020-04-19,27,False
2020-04-26,54,False
2020-05-03,84,False
2020-05-10,28,False
2020-05-17,60,False
2020-05-24,28,False
2020-05-31,28,False
2020-06-07,56,False
2020-06-14,26,False
2020-06-21,82,False
2020-06-28,26,False
2020-07-05,27,False
