date,Cours guitare,isPartial
2018-01-07,33,False
2018-01-14,48,False
2018-01-21,53,False
2018-01-28,33,False
2018-02-04,24,False
2018-02-11,33,False
2018-02-18,27,False
2018-02-25,31,False
2018-03-04,32,False
2018-03-11,21,False
2018-03-18,25,False
2018-03-25,28,False
2018-04-01,28,False
2018-04-08,29,False
2018-04-15,50,False
2018-04-22,29,False
2018-04-29,17,False
2018-05-06,18,False
2018-05-13,33,False
2018-05-20,44,False
2018-05-27,17,False
2018-06-03,57,False
2018-06-10,27,False
2018-06-17,52,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,17,False
2018-07-15,18,False
2018-07-22,36,False
2018-07-29,24,False
2018-08-05,49,False
2018-08-12,19,False
2018-08-19,92,False
2018-08-26,58,False
2018-09-02,87,False
2018-09-09,52,False
2018-09-16,41,False
2018-09-23,46,False
2018-09-30,63,False
2018-10-07,35,False
2018-10-14,35,False
2018-10-21,42,False
2018-10-28,35,False
2018-11-04,22,False
2018-11-11,34,False
2018-11-18,39,False
2018-11-25,28,False
2018-12-02,42,False
2018-12-09,56,False
2018-12-16,34,False
2018-12-23,44,False
2018-12-30,47,False
2019-01-06,16,False
2019-01-13,33,False
2019-01-20,43,False
2019-01-27,47,False
2019-02-03,32,False
2019-02-10,33,False
2019-02-17,23,False
2019-02-24,17,False
2019-03-03,40,False
2019-03-10,32,False
2019-03-17,17,False
2019-03-24,27,False
2019-03-31,41,False
2019-04-07,36,False
2019-04-14,32,False
2019-04-21,16,False
2019-04-28,26,False
2019-05-05,36,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,33,False
2019-06-02,31,False
2019-06-09,45,False
2019-06-16,26,False
2019-06-23,37,False
2019-06-30,26,False
2019-07-07,26,False
2019-07-14,32,False
2019-07-21,43,False
2019-07-28,41,False
2019-08-04,42,False
2019-08-11,18,False
2019-08-18,63,False
2019-08-25,100,False
2019-09-01,60,False
2019-09-08,81,False
2019-09-15,71,False
2019-09-22,20,False
2019-09-29,38,False
2019-10-06,26,False
2019-10-13,38,False
2019-10-20,30,False
2019-10-27,29,False
2019-11-03,29,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,60,False
2019-12-01,33,False
2019-12-08,49,False
2019-12-15,33,False
2019-12-22,46,False
2019-12-29,35,False
2020-01-05,28,False
2020-01-12,28,False
2020-01-19,37,False
2020-01-26,23,False
2020-02-02,27,False
2020-02-09,13,False
2020-02-16,31,False
2020-02-23,22,False
2020-03-01,27,False
2020-03-08,20,False
2020-03-15,21,False
2020-03-22,57,False
2020-03-29,49,False
2020-04-05,74,False
2020-04-12,43,False
2020-04-19,29,False
2020-04-26,47,False
2020-05-03,36,False
2020-05-10,29,False
2020-05-17,16,True
