date,Plombier urgence,isPartial
2018-01-07,26,False
2018-01-14,53,False
2018-01-21,52,False
2018-01-28,27,False
2018-02-04,26,False
2018-02-11,0,False
2018-02-18,28,False
2018-02-25,84,False
2018-03-04,67,False
2018-03-11,40,False
2018-03-18,55,False
2018-03-25,27,False
2018-04-01,28,False
2018-04-08,27,False
2018-04-15,29,False
2018-04-22,28,False
2018-04-29,28,False
2018-05-06,29,False
2018-05-13,27,False
2018-05-20,27,False
2018-05-27,52,False
2018-06-03,39,False
2018-06-10,26,False
2018-06-17,0,False
2018-06-24,40,False
2018-07-01,26,False
2018-07-08,27,False
2018-07-15,60,False
2018-07-22,30,False
2018-07-29,32,False
2018-08-05,33,False
2018-08-12,52,False
2018-08-19,0,False
2018-08-26,57,False
2018-09-02,40,False
2018-09-09,26,False
2018-09-16,52,False
2018-09-23,26,False
2018-09-30,27,False
2018-10-07,26,False
2018-10-14,38,False
2018-10-21,39,False
2018-10-28,28,False
2018-11-04,52,False
2018-11-11,38,False
2018-11-18,26,False
2018-11-25,40,False
2018-12-02,53,False
2018-12-09,0,False
2018-12-16,27,False
2018-12-23,55,False
2018-12-30,31,False
2019-01-06,27,False
2019-01-13,26,False
2019-01-20,26,False
2019-01-27,26,False
2019-02-03,41,False
2019-02-10,26,False
2019-02-17,26,False
2019-02-24,27,False
2019-03-03,79,False
2019-03-10,0,False
2019-03-17,54,False
2019-03-24,0,False
2019-03-31,45,False
2019-04-07,46,False
2019-04-14,28,False
2019-04-21,60,False
2019-04-28,30,False
2019-05-05,29,False
2019-05-12,42,False
2019-05-19,0,False
2019-05-26,57,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,55,False
2019-06-23,28,False
2019-06-30,28,False
2019-07-07,29,False
2019-07-14,30,False
2019-07-21,32,False
2019-07-28,67,False
2019-08-04,0,False
2019-08-11,37,False
2019-08-18,35,False
2019-08-25,76,False
2019-09-01,0,False
2019-09-08,27,False
2019-09-15,0,False
2019-09-22,52,False
2019-09-29,39,False
2019-10-06,36,False
2019-10-13,27,False
2019-10-20,41,False
2019-10-27,28,False
2019-11-03,26,False
2019-11-10,27,False
2019-11-17,40,False
2019-11-24,43,False
2019-12-01,50,False
2019-12-08,76,False
2019-12-15,79,False
2019-12-22,32,False
2019-12-29,30,False
2020-01-05,51,False
2020-01-12,0,False
2020-01-19,39,False
2020-01-26,26,False
2020-02-02,26,False
2020-02-09,39,False
2020-02-16,27,False
2020-02-23,100,False
2020-03-01,25,False
2020-03-08,24,False
2020-03-15,52,False
2020-03-22,53,False
2020-03-29,53,False
2020-04-05,43,False
2020-04-12,26,False
2020-04-19,78,False
2020-04-26,0,False
2020-05-03,24,False
2020-05-10,0,False
2020-05-17,61,True
