date,moustiquaire,isPartial
2018-01-07,10,False
2018-01-14,5,False
2018-01-21,0,False
2018-01-28,8,False
2018-02-04,8,False
2018-02-11,8,False
2018-02-18,5,False
2018-02-25,11,False
2018-03-04,5,False
2018-03-11,9,False
2018-03-18,5,False
2018-03-25,5,False
2018-04-01,7,False
2018-04-08,25,False
2018-04-15,31,False
2018-04-22,23,False
2018-04-29,19,False
2018-05-06,41,False
2018-05-13,18,False
2018-05-20,28,False
2018-05-27,28,False
2018-06-03,30,False
2018-06-10,19,False
2018-06-17,31,False
2018-06-24,78,False
2018-07-01,71,False
2018-07-08,57,False
2018-07-15,46,False
2018-07-22,46,False
2018-07-29,42,False
2018-08-05,31,False
2018-08-12,12,False
2018-08-19,13,False
2018-08-26,13,False
2018-09-02,20,False
2018-09-09,11,False
2018-09-16,14,False
2018-09-23,11,False
2018-09-30,6,False
2018-10-07,8,False
2018-10-14,6,False
2018-10-21,9,False
2018-10-28,6,False
2018-11-04,5,False
2018-11-11,8,False
2018-11-18,7,False
2018-11-25,5,False
2018-12-02,7,False
2018-12-09,15,False
2018-12-16,5,False
2018-12-23,6,False
2018-12-30,8,False
2019-01-06,5,False
2019-01-13,10,False
2019-01-20,5,False
2019-01-27,5,False
2019-02-03,8,False
2019-02-10,5,False
2019-02-17,16,False
2019-02-24,8,False
2019-03-03,10,False
2019-03-10,10,False
2019-03-17,16,False
2019-03-24,23,False
2019-03-31,25,False
2019-04-07,15,False
2019-04-14,26,False
2019-04-21,25,False
2019-04-28,9,False
2019-05-05,15,False
2019-05-12,20,False
2019-05-19,18,False
2019-05-26,22,False
2019-06-02,46,False
2019-06-09,21,False
2019-06-16,43,False
2019-06-23,62,False
2019-06-30,60,False
2019-07-07,52,False
2019-07-14,34,False
2019-07-21,41,False
2019-07-28,33,False
2019-08-04,22,False
2019-08-11,16,False
2019-08-18,14,False
2019-08-25,22,False
2019-09-01,10,False
2019-09-08,7,False
2019-09-15,5,False
2019-09-22,5,False
2019-09-29,5,False
2019-10-06,7,False
2019-10-13,8,False
2019-10-20,5,False
2019-10-27,7,False
2019-11-03,0,False
2019-11-10,8,False
2019-11-17,5,False
2019-11-24,4,False
2019-12-01,9,False
2019-12-08,5,False
2019-12-15,7,False
2019-12-22,11,False
2019-12-29,8,False
2020-01-05,11,False
2020-01-12,7,False
2020-01-19,0,False
2020-01-26,9,False
2020-02-02,7,False
2020-02-09,9,False
2020-02-16,12,False
2020-02-23,7,False
2020-03-01,4,False
2020-03-08,6,False
2020-03-15,14,False
2020-03-22,16,False
2020-03-29,9,False
2020-04-05,25,False
2020-04-12,30,False
2020-04-19,38,False
2020-04-26,37,False
2020-05-03,62,False
2020-05-10,47,False
2020-05-17,77,False
2020-05-24,94,False
2020-05-31,100,False
2020-06-07,37,False
2020-06-14,35,False
2020-06-21,50,True
