date,moustiquaire,isPartial
2018-01-07,8,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,8,False
2018-02-11,8,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,8,False
2018-03-11,0,False
2018-03-18,8,False
2018-03-25,8,False
2018-04-01,8,False
2018-04-08,16,False
2018-04-15,20,False
2018-04-22,12,False
2018-04-29,15,False
2018-05-06,11,False
2018-05-13,8,False
2018-05-20,17,False
2018-05-27,25,False
2018-06-03,8,False
2018-06-10,16,False
2018-06-17,26,False
2018-06-24,17,False
2018-07-01,42,False
2018-07-08,17,False
2018-07-15,15,False
2018-07-22,35,False
2018-07-29,14,False
2018-08-05,17,False
2018-08-12,9,False
2018-08-19,17,False
2018-08-26,8,False
2018-09-02,8,False
2018-09-09,13,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,8,False
2018-10-07,0,False
2018-10-14,8,False
2018-10-21,0,False
2018-10-28,8,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,8,False
2018-11-25,11,False
2018-12-02,8,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,8,False
2018-12-30,0,False
2019-01-06,7,False
2019-01-13,0,False
2019-01-20,7,False
2019-01-27,0,False
2019-02-03,11,False
2019-02-10,8,False
2019-02-17,8,False
2019-02-24,8,False
2019-03-03,15,False
2019-03-10,8,False
2019-03-17,12,False
2019-03-24,8,False
2019-03-31,8,False
2019-04-07,19,False
2019-04-14,11,False
2019-04-21,12,False
2019-04-28,7,False
2019-05-05,7,False
2019-05-12,8,False
2019-05-19,11,False
2019-05-26,8,False
2019-06-02,19,False
2019-06-09,15,False
2019-06-16,16,False
2019-06-23,34,False
2019-06-30,23,False
2019-07-07,31,False
2019-07-14,21,False
2019-07-21,21,False
2019-07-28,8,False
2019-08-04,8,False
2019-08-11,19,False
2019-08-18,8,False
2019-08-25,8,False
2019-09-01,7,False
2019-09-08,0,False
2019-09-15,11,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,11,False
2019-10-13,7,False
2019-10-20,14,False
2019-10-27,7,False
2019-11-03,7,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,7,False
2019-12-01,20,False
2019-12-08,7,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,7,False
2020-01-12,7,False
2020-01-19,0,False
2020-01-26,7,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,7,False
2020-02-23,7,False
2020-03-01,7,False
2020-03-08,9,False
2020-03-15,6,False
2020-03-22,6,False
2020-03-29,6,False
2020-04-05,6,False
2020-04-12,13,False
2020-04-19,12,False
2020-04-26,8,False
2020-05-03,22,False
2020-05-10,12,False
2020-05-17,25,False
2020-05-24,21,False
2020-05-31,17,False
2020-06-07,10,False
2020-06-14,6,False
2020-06-21,100,True
