date,moustiquaire,isPartial
2018-01-07,8,False
2018-01-14,3,False
2018-01-21,8,False
2018-01-28,7,False
2018-02-04,5,False
2018-02-11,8,False
2018-02-18,5,False
2018-02-25,3,False
2018-03-04,4,False
2018-03-11,5,False
2018-03-18,3,False
2018-03-25,6,False
2018-04-01,11,False
2018-04-08,9,False
2018-04-15,25,False
2018-04-22,25,False
2018-04-29,16,False
2018-05-06,24,False
2018-05-13,13,False
2018-05-20,25,False
2018-05-27,24,False
2018-06-03,24,False
2018-06-10,20,False
2018-06-17,38,False
2018-06-24,41,False
2018-07-01,34,False
2018-07-08,33,False
2018-07-15,23,False
2018-07-22,22,False
2018-07-29,28,False
2018-08-05,21,False
2018-08-12,12,False
2018-08-19,16,False
2018-08-26,8,False
2018-09-02,13,False
2018-09-09,13,False
2018-09-16,10,False
2018-09-23,14,False
2018-09-30,9,False
2018-10-07,4,False
2018-10-14,4,False
2018-10-21,3,False
2018-10-28,4,False
2018-11-04,3,False
2018-11-11,3,False
2018-11-18,3,False
2018-11-25,4,False
2018-12-02,3,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,3,False
2018-12-30,3,False
2019-01-06,3,False
2019-01-13,8,False
2019-01-20,5,False
2019-01-27,5,False
2019-02-03,10,False
2019-02-10,6,False
2019-02-17,9,False
2019-02-24,11,False
2019-03-03,8,False
2019-03-10,9,False
2019-03-17,9,False
2019-03-24,18,False
2019-03-31,6,False
2019-04-07,8,False
2019-04-14,15,False
2019-04-21,12,False
2019-04-28,19,False
2019-05-05,19,False
2019-05-12,19,False
2019-05-19,17,False
2019-05-26,23,False
2019-06-02,37,False
2019-06-09,22,False
2019-06-16,43,False
2019-06-23,45,False
2019-06-30,50,False
2019-07-07,26,False
2019-07-14,21,False
2019-07-21,23,False
2019-07-28,15,False
2019-08-04,24,False
2019-08-11,12,False
2019-08-18,11,False
2019-08-25,5,False
2019-09-01,9,False
2019-09-08,3,False
2019-09-15,6,False
2019-09-22,6,False
2019-09-29,5,False
2019-10-06,5,False
2019-10-13,7,False
2019-10-20,2,False
2019-10-27,6,False
2019-11-03,6,False
2019-11-10,5,False
2019-11-17,4,False
2019-11-24,2,False
2019-12-01,2,False
2019-12-08,6,False
2019-12-15,0,False
2019-12-22,3,False
2019-12-29,4,False
2020-01-05,5,False
2020-01-12,5,False
2020-01-19,4,False
2020-01-26,5,False
2020-02-02,6,False
2020-02-09,12,False
2020-02-16,5,False
2020-02-23,8,False
2020-03-01,8,False
2020-03-08,9,False
2020-03-15,8,False
2020-03-22,7,False
2020-03-29,10,False
2020-04-05,11,False
2020-04-12,13,False
2020-04-19,19,False
2020-04-26,30,False
2020-05-03,76,False
2020-05-10,34,False
2020-05-17,100,False
2020-05-24,81,False
2020-05-31,51,False
2020-06-07,29,False
2020-06-14,37,False
2020-06-21,60,True
