date,moustiquaire,isPartial
2018-01-07,4,False
2018-01-14,5,False
2018-01-21,4,False
2018-01-28,3,False
2018-02-04,4,False
2018-02-11,6,False
2018-02-18,6,False
2018-02-25,5,False
2018-03-04,6,False
2018-03-11,7,False
2018-03-18,6,False
2018-03-25,8,False
2018-04-01,12,False
2018-04-08,16,False
2018-04-15,35,False
2018-04-22,31,False
2018-04-29,27,False
2018-05-06,42,False
2018-05-13,20,False
2018-05-20,29,False
2018-05-27,39,False
2018-06-03,38,False
2018-06-10,30,False
2018-06-17,42,False
2018-06-24,50,False
2018-07-01,61,False
2018-07-08,41,False
2018-07-15,44,False
2018-07-22,46,False
2018-07-29,55,False
2018-08-05,44,False
2018-08-12,22,False
2018-08-19,20,False
2018-08-26,12,False
2018-09-02,9,False
2018-09-09,11,False
2018-09-16,10,False
2018-09-23,9,False
2018-09-30,7,False
2018-10-07,6,False
2018-10-14,8,False
2018-10-21,6,False
2018-10-28,4,False
2018-11-04,4,False
2018-11-11,4,False
2018-11-18,3,False
2018-11-25,3,False
2018-12-02,4,False
2018-12-09,4,False
2018-12-16,3,False
2018-12-23,3,False
2018-12-30,4,False
2019-01-06,5,False
2019-01-13,5,False
2019-01-20,5,False
2019-01-27,5,False
2019-02-03,6,False
2019-02-10,7,False
2019-02-17,12,False
2019-02-24,14,False
2019-03-03,11,False
2019-03-10,9,False
2019-03-17,14,False
2019-03-24,19,False
2019-03-31,17,False
2019-04-07,16,False
2019-04-14,24,False
2019-04-21,25,False
2019-04-28,22,False
2019-05-05,19,False
2019-05-12,23,False
2019-05-19,28,False
2019-05-26,40,False
2019-06-02,58,False
2019-06-09,31,False
2019-06-16,52,False
2019-06-23,84,False
2019-06-30,65,False
2019-07-07,47,False
2019-07-14,37,False
2019-07-21,53,False
2019-07-28,28,False
2019-08-04,30,False
2019-08-11,23,False
2019-08-18,18,False
2019-08-25,22,False
2019-09-01,12,False
2019-09-08,8,False
2019-09-15,11,False
2019-09-22,9,False
2019-09-29,8,False
2019-10-06,6,False
2019-10-13,6,False
2019-10-20,6,False
2019-10-27,6,False
2019-11-03,4,False
2019-11-10,3,False
2019-11-17,3,False
2019-11-24,3,False
2019-12-01,4,False
2019-12-08,3,False
2019-12-15,3,False
2019-12-22,3,False
2019-12-29,4,False
2020-01-05,5,False
2020-01-12,5,False
2020-01-19,5,False
2020-01-26,5,False
2020-02-02,7,False
2020-02-09,7,False
2020-02-16,9,False
2020-02-23,9,False
2020-03-01,11,False
2020-03-08,10,False
2020-03-15,9,False
2020-03-22,10,False
2020-03-29,10,False
2020-04-05,33,False
2020-04-12,36,False
2020-04-19,38,False
2020-04-26,40,False
2020-05-03,74,False
2020-05-10,44,False
2020-05-17,100,False
2020-05-24,93,False
2020-05-31,75,False
2020-06-07,37,False
2020-06-14,39,False
2020-06-21,67,True
