date,fiori matrimonio,isPartial
2018-01-07,68,False
2018-01-14,100,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,74,False
2018-02-18,51,False
2018-02-25,0,False
2018-03-04,17,False
2018-03-11,0,False
2018-03-18,17,False
2018-03-25,55,False
2018-04-01,58,False
2018-04-08,90,False
2018-04-15,55,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,87,False
2018-05-13,36,False
2018-05-20,18,False
2018-05-27,55,False
2018-06-03,18,False
2018-06-10,17,False
2018-06-17,34,False
2018-06-24,54,False
2018-07-01,36,False
2018-07-08,18,False
2018-07-15,37,False
2018-07-22,37,False
2018-07-29,37,False
2018-08-05,19,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,38,False
2018-09-02,0,False
2018-09-09,88,False
2018-09-16,51,False
2018-09-23,35,False
2018-09-30,52,False
2018-10-07,54,False
2018-10-14,18,False
2018-10-21,17,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,19,False
2018-11-18,18,False
2018-11-25,18,False
2018-12-02,38,False
2018-12-09,19,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,18,False
2019-01-13,0,False
2019-01-20,16,False
2019-01-27,17,False
2019-02-03,17,False
2019-02-10,85,False
2019-02-17,0,False
2019-02-24,17,False
2019-03-03,36,False
2019-03-10,51,False
2019-03-17,53,False
2019-03-24,18,False
2019-03-31,17,False
2019-04-07,70,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,34,False
2019-05-05,35,False
2019-05-12,0,False
2019-05-19,49,False
2019-05-26,32,False
2019-06-02,53,False
2019-06-09,18,False
2019-06-16,36,False
2019-06-23,19,False
2019-06-30,76,False
2019-07-07,73,False
2019-07-14,18,False
2019-07-21,57,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,21,False
2019-08-18,40,False
2019-08-25,35,False
2019-09-01,66,False
2019-09-08,34,False
2019-09-15,33,False
2019-09-22,31,False
2019-09-29,16,False
2019-10-06,67,False
2019-10-13,17,False
2019-10-20,32,False
2019-10-27,32,False
2019-11-03,15,False
2019-11-10,16,False
2019-11-17,63,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,33,False
2019-12-15,0,False
2019-12-22,18,False
2019-12-29,18,False
2020-01-05,16,False
2020-01-12,47,False
2020-01-19,33,False
2020-01-26,31,False
2020-02-02,0,False
2020-02-09,16,False
2020-02-16,47,False
2020-02-23,44,False
2020-03-01,0,False
2020-03-08,14,False
2020-03-15,14,False
2020-03-22,13,False
2020-03-29,26,False
2020-04-05,28,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
