date,Hausbau,isPartial
2018-01-07,60,False
2018-01-14,75,False
2018-01-21,50,False
2018-01-28,75,False
2018-02-04,51,False
2018-02-11,25,False
2018-02-18,56,False
2018-02-25,49,False
2018-03-04,42,False
2018-03-11,38,False
2018-03-18,25,False
2018-03-25,26,False
2018-04-01,44,False
2018-04-08,51,False
2018-04-15,35,False
2018-04-22,74,False
2018-04-29,80,False
2018-05-06,29,False
2018-05-13,26,False
2018-05-20,28,False
2018-05-27,63,False
2018-06-03,51,False
2018-06-10,36,False
2018-06-17,66,False
2018-06-24,39,False
2018-07-01,51,False
2018-07-08,44,False
2018-07-15,57,False
2018-07-22,42,False
2018-07-29,56,False
2018-08-05,36,False
2018-08-12,76,False
2018-08-19,26,False
2018-08-26,96,False
2018-09-02,70,False
2018-09-09,26,False
2018-09-16,94,False
2018-09-23,39,False
2018-09-30,28,False
2018-10-07,36,False
2018-10-14,63,False
2018-10-21,61,False
2018-10-28,42,False
2018-11-04,24,False
2018-11-11,25,False
2018-11-18,40,False
2018-11-25,25,False
2018-12-02,49,False
2018-12-09,37,False
2018-12-16,26,False
2018-12-23,36,False
2018-12-30,43,False
2019-01-06,36,False
2019-01-13,39,False
2019-01-20,39,False
2019-01-27,39,False
2019-02-03,40,False
2019-02-10,56,False
2019-02-17,49,False
2019-02-24,61,False
2019-03-03,62,False
2019-03-10,100,False
2019-03-17,25,False
2019-03-24,42,False
2019-03-31,37,False
2019-04-07,74,False
2019-04-14,0,False
2019-04-21,53,False
2019-04-28,50,False
2019-05-05,40,False
2019-05-12,26,False
2019-05-19,25,False
2019-05-26,66,False
2019-06-02,52,False
2019-06-09,67,False
2019-06-16,27,False
2019-06-23,37,False
2019-06-30,55,False
2019-07-07,28,False
2019-07-14,30,False
2019-07-21,43,False
2019-07-28,40,False
2019-08-04,55,False
2019-08-11,26,False
2019-08-18,41,False
2019-08-25,69,False
2019-09-01,39,False
2019-09-08,41,False
2019-09-15,54,False
2019-09-22,58,False
2019-09-29,25,False
2019-10-06,53,False
2019-10-13,33,False
2019-10-20,23,False
2019-10-27,38,False
2019-11-03,56,False
2019-11-10,59,False
2019-11-17,23,False
2019-11-24,24,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,26,False
2019-12-22,54,False
2019-12-29,76,False
2020-01-05,83,False
2020-01-12,31,False
2020-01-19,46,False
2020-01-26,46,False
2020-02-02,94,False
2020-02-09,22,False
2020-02-16,21,False
2020-02-23,20,False
2020-03-01,65,False
2020-03-08,48,False
2020-03-15,70,False
2020-03-22,38,False
2020-03-29,55,False
2020-04-05,30,False
2020-04-12,71,False
2020-04-19,32,False
2020-04-26,68,False
2020-05-03,55,False
2020-05-10,82,False
