date,Küche renovieren,isPartial
2018-01-07,45,False
2018-01-14,38,False
2018-01-21,38,False
2018-01-28,76,False
2018-02-04,39,False
2018-02-11,52,False
2018-02-18,39,False
2018-02-25,38,False
2018-03-04,45,False
2018-03-11,19,False
2018-03-18,78,False
2018-03-25,31,False
2018-04-01,21,False
2018-04-08,40,False
2018-04-15,41,False
2018-04-22,20,False
2018-04-29,40,False
2018-05-06,82,False
2018-05-13,0,False
2018-05-20,34,False
2018-05-27,40,False
2018-06-03,30,False
2018-06-10,0,False
2018-06-17,19,False
2018-06-24,30,False
2018-07-01,20,False
2018-07-08,19,False
2018-07-15,20,False
2018-07-22,30,False
2018-07-29,20,False
2018-08-05,20,False
2018-08-12,0,False
2018-08-19,40,False
2018-08-26,27,False
2018-09-02,0,False
2018-09-09,39,False
2018-09-16,29,False
2018-09-23,100,False
2018-09-30,72,False
2018-10-07,49,False
2018-10-14,39,False
2018-10-21,19,False
2018-10-28,44,False
2018-11-04,19,False
2018-11-11,45,False
2018-11-18,56,False
2018-11-25,31,False
2018-12-02,38,False
2018-12-09,44,False
2018-12-16,33,False
2018-12-23,37,False
2018-12-30,40,False
2019-01-06,54,False
2019-01-13,0,False
2019-01-20,35,False
2019-01-27,53,False
2019-02-03,42,False
2019-02-10,24,False
2019-02-17,25,False
2019-02-24,31,False
2019-03-03,37,False
2019-03-10,36,False
2019-03-17,38,False
2019-03-24,37,False
2019-03-31,19,False
2019-04-07,18,False
2019-04-14,41,False
2019-04-21,29,False
2019-04-28,37,False
2019-05-05,36,False
2019-05-12,18,False
2019-05-19,27,False
2019-05-26,19,False
2019-06-02,37,False
2019-06-09,28,False
2019-06-16,19,False
2019-06-23,19,False
2019-06-30,19,False
2019-07-07,55,False
2019-07-14,19,False
2019-07-21,20,False
2019-07-28,0,False
2019-08-04,26,False
2019-08-11,19,False
2019-08-18,38,False
2019-08-25,0,False
2019-09-01,30,False
2019-09-08,31,False
2019-09-15,37,False
2019-09-22,18,False
2019-09-29,55,False
2019-10-06,18,False
2019-10-13,45,False
2019-10-20,41,False
2019-10-27,52,False
2019-11-03,42,False
2019-11-10,29,False
2019-11-17,34,False
2019-11-24,17,False
2019-12-01,17,False
2019-12-08,17,False
2019-12-15,35,False
2019-12-22,27,False
2019-12-29,28,False
2020-01-05,22,False
2020-01-12,32,False
2020-01-19,27,False
2020-01-26,33,False
2020-02-02,54,False
2020-02-09,21,False
2020-02-16,49,False
2020-02-23,40,False
2020-03-01,80,False
2020-03-08,55,False
2020-03-15,15,False
2020-03-22,30,False
2020-03-29,24,False
2020-04-05,16,False
2020-04-12,36,False
2020-04-19,30,False
2020-04-26,58,False
2020-05-03,40,False
2020-05-10,25,False
