date,guitare débutant,isPartial
2018-01-07,44,False
2018-01-14,64,False
2018-01-21,32,False
2018-01-28,33,False
2018-02-04,0,False
2018-02-11,33,False
2018-02-18,33,False
2018-02-25,31,False
2018-03-04,32,False
2018-03-11,32,False
2018-03-18,0,False
2018-03-25,33,False
2018-04-01,68,False
2018-04-08,34,False
2018-04-15,38,False
2018-04-22,51,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,34,False
2018-05-20,70,False
2018-05-27,100,False
2018-06-03,34,False
2018-06-10,33,False
2018-06-17,0,False
2018-06-24,68,False
2018-07-01,34,False
2018-07-08,0,False
2018-07-15,73,False
2018-07-22,36,False
2018-07-29,37,False
2018-08-05,38,False
2018-08-12,38,False
2018-08-19,37,False
2018-08-26,35,False
2018-09-02,34,False
2018-09-09,35,False
2018-09-16,70,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,34,False
2018-10-14,0,False
2018-10-21,36,False
2018-10-28,70,False
2018-11-04,34,False
2018-11-11,68,False
2018-11-18,33,False
2018-11-25,67,False
2018-12-02,0,False
2018-12-09,34,False
2018-12-16,35,False
2018-12-23,0,False
2018-12-30,35,False
2019-01-06,33,False
2019-01-13,33,False
2019-01-20,32,False
2019-01-27,0,False
2019-02-03,32,False
2019-02-10,33,False
2019-02-17,34,False
2019-02-24,33,False
2019-03-03,32,False
2019-03-10,32,False
2019-03-17,33,False
2019-03-24,32,False
2019-03-31,31,False
2019-04-07,31,False
2019-04-14,32,False
2019-04-21,0,False
2019-04-28,31,False
2019-05-05,41,False
2019-05-12,62,False
2019-05-19,62,False
2019-05-26,33,False
2019-06-02,31,False
2019-06-09,30,False
2019-06-16,0,False
2019-06-23,31,False
2019-06-30,31,False
2019-07-07,62,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,66,False
2019-08-04,33,False
2019-08-11,0,False
2019-08-18,36,False
2019-08-25,100,False
2019-09-01,30,False
2019-09-08,30,False
2019-09-15,30,False
2019-09-22,30,False
2019-09-29,0,False
2019-10-06,62,False
2019-10-13,0,False
2019-10-20,45,False
2019-10-27,29,False
2019-11-03,43,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,0,False
2019-12-01,28,False
2019-12-08,28,False
2019-12-15,29,False
2019-12-22,62,False
2019-12-29,40,False
2020-01-05,38,False
2020-01-12,28,False
2020-01-19,42,False
2020-01-26,27,False
2020-02-02,0,False
2020-02-09,27,False
2020-02-16,26,False
2020-02-23,26,False
2020-03-01,26,False
2020-03-08,39,False
2020-03-15,25,False
2020-03-22,49,False
2020-03-29,82,False
2020-04-05,74,False
2020-04-12,41,False
2020-04-19,42,False
2020-04-26,70,False
2020-05-03,48,False
2020-05-10,24,False
2020-05-17,52,True
