date,guitare débutant,isPartial
2018-01-07,29,False
2018-01-14,52,False
2018-01-21,39,False
2018-01-28,49,False
2018-02-04,52,False
2018-02-11,20,False
2018-02-18,53,False
2018-02-25,21,False
2018-03-04,53,False
2018-03-11,20,False
2018-03-18,27,False
2018-03-25,34,False
2018-04-01,41,False
2018-04-08,40,False
2018-04-15,22,False
2018-04-22,21,False
2018-04-29,34,False
2018-05-06,86,False
2018-05-13,20,False
2018-05-20,20,False
2018-05-27,19,False
2018-06-03,19,False
2018-06-10,94,False
2018-06-17,39,False
2018-06-24,20,False
2018-07-01,19,False
2018-07-08,41,False
2018-07-15,22,False
2018-07-22,22,False
2018-07-29,0,False
2018-08-05,49,False
2018-08-12,52,False
2018-08-19,24,False
2018-08-26,85,False
2018-09-02,47,False
2018-09-09,39,False
2018-09-16,58,False
2018-09-23,39,False
2018-09-30,33,False
2018-10-07,48,False
2018-10-14,25,False
2018-10-21,38,False
2018-10-28,42,False
2018-11-04,0,False
2018-11-11,37,False
2018-11-18,19,False
2018-11-25,29,False
2018-12-02,29,False
2018-12-09,40,False
2018-12-16,34,False
2018-12-23,49,False
2018-12-30,0,False
2019-01-06,20,False
2019-01-13,39,False
2019-01-20,48,False
2019-01-27,25,False
2019-02-03,18,False
2019-02-10,29,False
2019-02-17,26,False
2019-02-24,20,False
2019-03-03,20,False
2019-03-10,20,False
2019-03-17,30,False
2019-03-24,42,False
2019-03-31,40,False
2019-04-07,21,False
2019-04-14,21,False
2019-04-21,34,False
2019-04-28,44,False
2019-05-05,22,False
2019-05-12,21,False
2019-05-19,20,False
2019-05-26,42,False
2019-06-02,47,False
2019-06-09,41,False
2019-06-16,41,False
2019-06-23,28,False
2019-06-30,62,False
2019-07-07,28,False
2019-07-14,23,False
2019-07-21,24,False
2019-07-28,100,False
2019-08-04,26,False
2019-08-11,27,False
2019-08-18,39,False
2019-08-25,23,False
2019-09-01,27,False
2019-09-08,20,False
2019-09-15,20,False
2019-09-22,39,False
2019-09-29,77,False
2019-10-06,20,False
2019-10-13,26,False
2019-10-20,20,False
2019-10-27,41,False
2019-11-03,32,False
2019-11-10,40,False
2019-11-17,26,False
2019-11-24,45,False
2019-12-01,44,False
2019-12-08,56,False
2019-12-15,0,False
2019-12-22,36,False
2019-12-29,67,False
2020-01-05,38,False
2020-01-12,47,False
2020-01-19,19,False
2020-01-26,38,False
2020-02-02,19,False
2020-02-09,19,False
2020-02-16,30,False
2020-02-23,37,False
2020-03-01,18,False
2020-03-08,30,False
2020-03-15,58,False
2020-03-22,58,False
2020-03-29,97,False
2020-04-05,70,False
2020-04-12,53,False
2020-04-19,95,False
2020-04-26,62,False
2020-05-03,90,False
2020-05-10,44,False
2020-05-17,34,True
