date,Ecken tapezieren,isPartial
2018-01-07,33,False
2018-01-14,33,False
2018-01-21,0,False
2018-01-28,50,False
2018-02-04,34,False
2018-02-11,34,False
2018-02-18,68,False
2018-02-25,100,False
2018-03-04,33,False
2018-03-11,33,False
2018-03-18,34,False
2018-03-25,0,False
2018-04-01,36,False
2018-04-08,35,False
2018-04-15,35,False
2018-04-22,68,False
2018-04-29,35,False
2018-05-06,0,False
2018-05-13,34,False
2018-05-20,36,False
2018-05-27,35,False
2018-06-03,68,False
2018-06-10,0,False
2018-06-17,33,False
2018-06-24,68,False
2018-07-01,34,False
2018-07-08,0,False
2018-07-15,70,False
2018-07-22,35,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,70,False
2018-08-19,46,False
2018-08-26,52,False
2018-09-02,0,False
2018-09-09,45,False
2018-09-16,34,False
2018-09-23,34,False
2018-09-30,51,False
2018-10-07,34,False
2018-10-14,85,False
2018-10-21,67,False
2018-10-28,33,False
2018-11-04,0,False
2018-11-11,50,False
2018-11-18,32,False
2018-11-25,49,False
2018-12-02,32,False
2018-12-09,33,False
2018-12-16,67,False
2018-12-23,58,False
2018-12-30,35,False
2019-01-06,31,False
2019-01-13,41,False
2019-01-20,30,False
2019-01-27,31,False
2019-02-03,47,False
2019-02-10,32,False
2019-02-17,48,False
2019-02-24,65,False
2019-03-03,63,False
2019-03-10,52,False
2019-03-17,43,False
2019-03-24,98,False
2019-03-31,33,False
2019-04-07,48,False
2019-04-14,35,False
2019-04-21,34,False
2019-04-28,32,False
2019-05-05,62,False
2019-05-12,48,False
2019-05-19,63,False
2019-05-26,0,False
2019-06-02,32,False
2019-06-09,33,False
2019-06-16,33,False
2019-06-23,0,False
2019-06-30,32,False
2019-07-07,64,False
2019-07-14,33,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,34,False
2019-08-11,33,False
2019-08-18,66,False
2019-08-25,32,False
2019-09-01,95,False
2019-09-08,32,False
2019-09-15,32,False
2019-09-22,31,False
2019-09-29,47,False
2019-10-06,31,False
2019-10-13,0,False
2019-10-20,31,False
2019-10-27,30,False
2019-11-03,0,False
2019-11-10,59,False
2019-11-17,45,False
2019-11-24,29,False
2019-12-01,40,False
2019-12-08,30,False
2019-12-15,0,False
2019-12-22,35,False
2019-12-29,32,False
2020-01-05,43,False
2020-01-12,27,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,47,False
2020-02-09,28,False
2020-02-16,43,False
2020-02-23,28,False
2020-03-01,28,False
2020-03-08,26,False
2020-03-15,25,False
2020-03-22,38,False
2020-03-29,50,False
2020-04-05,56,False
2020-04-12,53,False
2020-04-19,35,False
2020-04-26,34,False
2020-05-03,51,False
2020-05-10,26,False
