date,trucchi di magia,isPartial
2018-01-07,47,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,45,False
2018-02-04,0,False
2018-02-11,43,False
2018-02-18,41,False
2018-02-25,40,False
2018-03-04,41,False
2018-03-11,0,False
2018-03-18,42,False
2018-03-25,45,False
2018-04-01,46,False
2018-04-08,0,False
2018-04-15,42,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,41,False
2018-05-13,41,False
2018-05-20,83,False
2018-05-27,43,False
2018-06-03,44,False
2018-06-10,41,False
2018-06-17,81,False
2018-06-24,43,False
2018-07-01,0,False
2018-07-08,43,False
2018-07-15,66,False
2018-07-22,44,False
2018-07-29,45,False
2018-08-05,94,False
2018-08-12,56,False
2018-08-19,59,False
2018-08-26,0,False
2018-09-02,42,False
2018-09-09,41,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,42,False
2018-10-14,42,False
2018-10-21,41,False
2018-10-28,81,False
2018-11-04,78,False
2018-11-11,81,False
2018-11-18,0,False
2018-11-25,41,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,67,False
2018-12-23,55,False
2018-12-30,48,False
2019-01-06,0,False
2019-01-13,90,False
2019-01-20,0,False
2019-01-27,78,False
2019-02-03,0,False
2019-02-10,67,False
2019-02-17,45,False
2019-02-24,0,False
2019-03-03,47,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,46,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,89,False
2019-04-21,51,False
2019-04-28,0,False
2019-05-05,40,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,45,False
2019-06-09,45,False
2019-06-16,0,False
2019-06-23,47,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,47,False
2019-07-28,0,False
2019-08-04,55,False
2019-08-11,89,False
2019-08-18,56,False
2019-08-25,49,False
2019-09-01,43,False
2019-09-08,45,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,45,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,43,False
2019-11-17,43,False
2019-11-24,0,False
2019-12-01,89,False
2019-12-08,0,False
2019-12-15,45,False
2019-12-22,54,False
2019-12-29,52,False
2020-01-05,0,False
2020-01-12,41,False
2020-01-19,42,False
2020-01-26,62,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,62,False
2020-02-23,40,False
2020-03-01,80,False
2020-03-08,39,False
2020-03-15,39,False
2020-03-22,37,False
2020-03-29,38,False
2020-04-05,40,False
2020-04-12,100,False
2020-04-19,37,False
2020-04-26,66,True
