date,trucchi di magia,isPartial
2018-01-07,46,False
2018-01-14,91,False
2018-01-21,59,False
2018-01-28,29,False
2018-02-04,30,False
2018-02-11,59,False
2018-02-18,58,False
2018-02-25,29,False
2018-03-04,84,False
2018-03-11,42,False
2018-03-18,58,False
2018-03-25,30,False
2018-04-01,62,False
2018-04-08,57,False
2018-04-15,29,False
2018-04-22,61,False
2018-04-29,30,False
2018-05-06,57,False
2018-05-13,28,False
2018-05-20,57,False
2018-05-27,43,False
2018-06-03,0,False
2018-06-10,57,False
2018-06-17,59,False
2018-06-24,30,False
2018-07-01,59,False
2018-07-08,30,False
2018-07-15,60,False
2018-07-22,93,False
2018-07-29,65,False
2018-08-05,0,False
2018-08-12,59,False
2018-08-19,77,False
2018-08-26,31,False
2018-09-02,28,False
2018-09-09,28,False
2018-09-16,27,False
2018-09-23,0,False
2018-09-30,28,False
2018-10-07,0,False
2018-10-14,57,False
2018-10-21,42,False
2018-10-28,28,False
2018-11-04,53,False
2018-11-11,41,False
2018-11-18,27,False
2018-11-25,28,False
2018-12-02,0,False
2018-12-09,41,False
2018-12-16,0,False
2018-12-23,50,False
2018-12-30,49,False
2019-01-06,28,False
2019-01-13,27,False
2019-01-20,27,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,54,False
2019-02-17,27,False
2019-02-24,28,False
2019-03-03,28,False
2019-03-10,28,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,43,False
2019-04-07,28,False
2019-04-14,29,False
2019-04-21,64,False
2019-04-28,86,False
2019-05-05,28,False
2019-05-12,27,False
2019-05-19,0,False
2019-05-26,27,False
2019-06-02,29,False
2019-06-09,28,False
2019-06-16,28,False
2019-06-23,59,False
2019-06-30,58,False
2019-07-07,29,False
2019-07-14,29,False
2019-07-21,31,False
2019-07-28,32,False
2019-08-04,34,False
2019-08-11,77,False
2019-08-18,36,False
2019-08-25,63,False
2019-09-01,27,False
2019-09-08,41,False
2019-09-15,26,False
2019-09-22,26,False
2019-09-29,27,False
2019-10-06,27,False
2019-10-13,40,False
2019-10-20,51,False
2019-10-27,0,False
2019-11-03,50,False
2019-11-10,38,False
2019-11-17,25,False
2019-11-24,25,False
2019-12-01,26,False
2019-12-08,40,False
2019-12-15,0,False
2019-12-22,63,False
2019-12-29,31,False
2020-01-05,26,False
2020-01-12,24,False
2020-01-19,100,False
2020-01-26,48,False
2020-02-02,48,False
2020-02-09,24,False
2020-02-16,49,False
2020-02-23,34,False
2020-03-01,81,False
2020-03-08,46,False
2020-03-15,47,False
2020-03-22,22,False
2020-03-29,45,False
2020-04-05,59,False
2020-04-12,24,False
2020-04-19,79,False
2020-04-26,58,True
