date,Arbeit Maurer,isPartial
2018-01-07,32,False
2018-01-14,32,False
2018-01-21,54,False
2018-01-28,64,False
2018-02-04,66,False
2018-02-11,33,False
2018-02-18,49,False
2018-02-25,65,False
2018-03-04,65,False
2018-03-11,49,False
2018-03-18,49,False
2018-03-25,46,False
2018-04-01,70,False
2018-04-08,34,False
2018-04-15,69,False
2018-04-22,33,False
2018-04-29,0,False
2018-05-06,69,False
2018-05-13,55,False
2018-05-20,0,False
2018-05-27,34,False
2018-06-03,66,False
2018-06-10,96,False
2018-06-17,65,False
2018-06-24,33,False
2018-07-01,66,False
2018-07-08,82,False
2018-07-15,34,False
2018-07-22,34,False
2018-07-29,34,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,67,False
2018-09-02,50,False
2018-09-09,66,False
2018-09-16,33,False
2018-09-23,33,False
2018-09-30,33,False
2018-10-07,33,False
2018-10-14,66,False
2018-10-21,32,False
2018-10-28,32,False
2018-11-04,31,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,32,False
2018-12-02,63,False
2018-12-09,32,False
2018-12-16,0,False
2018-12-23,37,False
2018-12-30,34,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,59,False
2019-01-27,0,False
2019-02-03,31,False
2019-02-10,62,False
2019-02-17,31,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,45,False
2019-03-17,47,False
2019-03-24,0,False
2019-03-31,63,False
2019-04-07,31,False
2019-04-14,51,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,63,False
2019-05-19,0,False
2019-05-26,32,False
2019-06-02,31,False
2019-06-09,32,False
2019-06-16,80,False
2019-06-23,32,False
2019-06-30,31,False
2019-07-07,31,False
2019-07-14,32,False
2019-07-21,34,False
2019-07-28,49,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,31,False
2019-09-01,0,False
2019-09-08,31,False
2019-09-15,31,False
2019-09-22,30,False
2019-09-29,31,False
2019-10-06,30,False
2019-10-13,30,False
2019-10-20,59,False
2019-10-27,0,False
2019-11-03,57,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,28,False
2019-12-01,44,False
2019-12-08,0,False
2019-12-15,29,False
2019-12-22,34,False
2019-12-29,31,False
2020-01-05,0,False
2020-01-12,54,False
2020-01-19,74,False
2020-01-26,54,False
2020-02-02,0,False
2020-02-09,27,False
2020-02-16,56,False
2020-02-23,27,False
2020-03-01,27,False
2020-03-08,25,False
2020-03-15,25,False
2020-03-22,74,False
2020-03-29,49,False
2020-04-05,27,False
2020-04-12,26,False
2020-04-19,100,False
2020-04-26,33,False
2020-05-03,0,False
2020-05-10,0,False
