date,organizzare matrimonio,isPartial
2018-01-07,27,False
2018-01-14,52,False
2018-01-21,0,False
2018-01-28,38,False
2018-02-04,51,False
2018-02-11,26,False
2018-02-18,50,False
2018-02-25,25,False
2018-03-04,24,False
2018-03-11,24,False
2018-03-18,25,False
2018-03-25,26,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,26,False
2018-05-06,37,False
2018-05-13,37,False
2018-05-20,25,False
2018-05-27,0,False
2018-06-03,75,False
2018-06-10,50,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,25,False
2018-07-08,26,False
2018-07-15,0,False
2018-07-22,53,False
2018-07-29,28,False
2018-08-05,30,False
2018-08-12,0,False
2018-08-19,33,False
2018-08-26,27,False
2018-09-02,97,False
2018-09-09,36,False
2018-09-16,47,False
2018-09-23,0,False
2018-09-30,48,False
2018-10-07,24,False
2018-10-14,49,False
2018-10-21,24,False
2018-10-28,48,False
2018-11-04,23,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,49,False
2018-12-23,58,False
2018-12-30,28,False
2019-01-06,97,False
2019-01-13,0,False
2019-01-20,35,False
2019-01-27,0,False
2019-02-03,47,False
2019-02-10,0,False
2019-02-17,24,False
2019-02-24,24,False
2019-03-03,36,False
2019-03-10,24,False
2019-03-17,74,False
2019-03-24,25,False
2019-03-31,25,False
2019-04-07,24,False
2019-04-14,25,False
2019-04-21,0,False
2019-04-28,25,False
2019-05-05,48,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,23,False
2019-06-02,25,False
2019-06-09,24,False
2019-06-16,37,False
2019-06-23,25,False
2019-06-30,25,False
2019-07-07,25,False
2019-07-14,26,False
2019-07-21,26,False
2019-07-28,27,False
2019-08-04,30,False
2019-08-11,0,False
2019-08-18,93,False
2019-08-25,27,False
2019-09-01,46,False
2019-09-08,48,False
2019-09-15,46,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,47,False
2019-10-13,23,False
2019-10-20,22,False
2019-10-27,0,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,22,False
2019-12-01,23,False
2019-12-08,23,False
2019-12-15,23,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,23,False
2020-01-12,41,False
2020-01-19,0,False
2020-01-26,21,False
2020-02-02,0,False
2020-02-09,21,False
2020-02-16,0,False
2020-02-23,20,False
2020-03-01,41,False
2020-03-08,0,False
2020-03-15,20,False
2020-03-22,19,False
2020-03-29,39,False
2020-04-05,0,False
2020-04-12,21,False
2020-04-19,0,False
2020-04-26,100,True
