date,Parkettschleifmaschine mieten,isPartial
2018-01-07,30,False
2018-01-14,30,False
2018-01-21,30,False
2018-01-28,29,False
2018-02-04,40,False
2018-02-11,30,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,30,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,32,False
2018-04-01,64,False
2018-04-08,62,False
2018-04-15,31,False
2018-04-22,30,False
2018-04-29,47,False
2018-05-06,0,False
2018-05-13,30,False
2018-05-20,32,False
2018-05-27,62,False
2018-06-03,30,False
2018-06-10,0,False
2018-06-17,30,False
2018-06-24,46,False
2018-07-01,30,False
2018-07-08,0,False
2018-07-15,31,False
2018-07-22,31,False
2018-07-29,31,False
2018-08-05,31,False
2018-08-12,63,False
2018-08-19,0,False
2018-08-26,31,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,31,False
2018-09-30,61,False
2018-10-07,30,False
2018-10-14,0,False
2018-10-21,30,False
2018-10-28,29,False
2018-11-04,29,False
2018-11-11,59,False
2018-11-18,29,False
2018-11-25,29,False
2018-12-02,29,False
2018-12-09,0,False
2018-12-16,30,False
2018-12-23,52,False
2018-12-30,0,False
2019-01-06,56,False
2019-01-13,41,False
2019-01-20,55,False
2019-01-27,27,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,38,False
2019-02-24,29,False
2019-03-03,42,False
2019-03-10,0,False
2019-03-17,29,False
2019-03-24,29,False
2019-03-31,0,False
2019-04-07,43,False
2019-04-14,31,False
2019-04-21,30,False
2019-04-28,57,False
2019-05-05,0,False
2019-05-12,57,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,28,False
2019-06-09,0,False
2019-06-16,29,False
2019-06-23,29,False
2019-06-30,0,False
2019-07-07,28,False
2019-07-14,30,False
2019-07-21,0,False
2019-07-28,30,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,30,False
2019-08-25,43,False
2019-09-01,28,False
2019-09-08,43,False
2019-09-15,0,False
2019-09-22,28,False
2019-09-29,28,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,41,False
2019-10-27,0,False
2019-11-03,26,False
2019-11-10,40,False
2019-11-17,53,False
2019-11-24,0,False
2019-12-01,40,False
2019-12-08,27,False
2019-12-15,27,False
2019-12-22,31,False
2019-12-29,38,False
2020-01-05,26,False
2020-01-12,49,False
2020-01-19,25,False
2020-01-26,37,False
2020-02-02,0,False
2020-02-09,37,False
2020-02-16,26,False
2020-02-23,25,False
2020-03-01,25,False
2020-03-08,23,False
2020-03-15,0,False
2020-03-22,68,False
2020-03-29,45,False
2020-04-05,100,False
2020-04-12,36,False
2020-04-19,31,False
2020-04-26,34,False
2020-05-03,69,False
2020-05-10,35,False
