date,Maler und Lackierer,isPartial
2018-01-07,28,False
2018-01-14,0,False
2018-01-21,27,False
2018-01-28,27,False
2018-02-04,54,False
2018-02-11,26,False
2018-02-18,26,False
2018-02-25,26,False
2018-03-04,55,False
2018-03-11,27,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,58,False
2018-04-08,27,False
2018-04-15,28,False
2018-04-22,27,False
2018-04-29,29,False
2018-05-06,31,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,26,False
2018-06-17,27,False
2018-06-24,28,False
2018-07-01,28,False
2018-07-08,28,False
2018-07-15,31,False
2018-07-22,0,False
2018-07-29,30,False
2018-08-05,29,False
2018-08-12,28,False
2018-08-19,0,False
2018-08-26,28,False
2018-09-02,28,False
2018-09-09,28,False
2018-09-16,28,False
2018-09-23,28,False
2018-09-30,46,False
2018-10-07,30,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,26,False
2018-11-25,35,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,26,False
2019-01-13,38,False
2019-01-20,0,False
2019-01-27,34,False
2019-02-03,0,False
2019-02-10,26,False
2019-02-17,26,False
2019-02-24,52,False
2019-03-03,27,False
2019-03-10,27,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,27,False
2019-04-07,27,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,27,False
2019-05-05,26,False
2019-05-12,0,False
2019-05-19,53,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,59,False
2019-06-23,30,False
2019-06-30,30,False
2019-07-07,0,False
2019-07-14,32,False
2019-07-21,34,False
2019-07-28,32,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,44,False
2019-08-25,0,False
2019-09-01,28,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,36,False
2019-10-06,58,False
2019-10-13,0,False
2019-10-20,25,False
2019-10-27,0,False
2019-11-03,53,False
2019-11-10,27,False
2019-11-17,25,False
2019-11-24,26,False
2019-12-01,28,False
2019-12-08,28,False
2019-12-15,29,False
2019-12-22,0,False
2019-12-29,33,False
2020-01-05,26,False
2020-01-12,0,False
2020-01-19,25,False
2020-01-26,37,False
2020-02-02,25,False
2020-02-09,48,False
2020-02-16,22,False
2020-02-23,0,False
2020-03-01,31,False
2020-03-08,22,False
2020-03-15,22,False
2020-03-22,20,False
2020-03-29,20,False
2020-04-05,0,False
2020-04-12,31,False
2020-04-19,31,False
2020-04-26,0,False
2020-05-03,40,False
2020-05-10,20,False
2020-05-17,100,True
