date,Reinigungskraft,isPartial
2018-01-07,26,False
2018-01-14,34,False
2018-01-21,38,False
2018-01-28,25,False
2018-02-04,64,False
2018-02-11,64,False
2018-02-18,34,False
2018-02-25,26,False
2018-03-04,26,False
2018-03-11,38,False
2018-03-18,66,False
2018-03-25,28,False
2018-04-01,41,False
2018-04-08,63,False
2018-04-15,52,False
2018-04-22,42,False
2018-04-29,53,False
2018-05-06,28,False
2018-05-13,39,False
2018-05-20,28,False
2018-05-27,50,False
2018-06-03,26,False
2018-06-10,64,False
2018-06-17,42,False
2018-06-24,27,False
2018-07-01,46,False
2018-07-08,56,False
2018-07-15,29,False
2018-07-22,0,False
2018-07-29,28,False
2018-08-05,51,False
2018-08-12,43,False
2018-08-19,66,False
2018-08-26,26,False
2018-09-02,70,False
2018-09-09,0,False
2018-09-16,44,False
2018-09-23,39,False
2018-09-30,47,False
2018-10-07,54,False
2018-10-14,51,False
2018-10-21,50,False
2018-10-28,38,False
2018-11-04,24,False
2018-11-11,0,False
2018-11-18,57,False
2018-11-25,100,False
2018-12-02,25,False
2018-12-09,26,False
2018-12-16,27,False
2018-12-23,0,False
2018-12-30,57,False
2019-01-06,62,False
2019-01-13,49,False
2019-01-20,25,False
2019-01-27,50,False
2019-02-03,25,False
2019-02-10,59,False
2019-02-17,51,False
2019-02-24,26,False
2019-03-03,41,False
2019-03-10,37,False
2019-03-17,50,False
2019-03-24,51,False
2019-03-31,39,False
2019-04-07,36,False
2019-04-14,58,False
2019-04-21,46,False
2019-04-28,65,False
2019-05-05,51,False
2019-05-12,51,False
2019-05-19,51,False
2019-05-26,65,False
2019-06-02,25,False
2019-06-09,65,False
2019-06-16,51,False
2019-06-23,39,False
2019-06-30,32,False
2019-07-07,26,False
2019-07-14,97,False
2019-07-21,69,False
2019-07-28,57,False
2019-08-04,69,False
2019-08-11,74,False
2019-08-18,26,False
2019-08-25,34,False
2019-09-01,35,False
2019-09-08,25,False
2019-09-15,25,False
2019-09-22,82,False
2019-09-29,42,False
2019-10-06,25,False
2019-10-13,0,False
2019-10-20,47,False
2019-10-27,36,False
2019-11-03,31,False
2019-11-10,0,False
2019-11-17,69,False
2019-11-24,23,False
2019-12-01,24,False
2019-12-08,24,False
2019-12-15,40,False
2019-12-22,30,False
2019-12-29,27,False
2020-01-05,30,False
2020-01-12,29,False
2020-01-19,61,False
2020-01-26,68,False
2020-02-02,30,False
2020-02-09,23,False
2020-02-16,34,False
2020-02-23,22,False
2020-03-01,38,False
2020-03-08,32,False
2020-03-15,21,False
2020-03-22,21,False
2020-03-29,21,False
2020-04-05,23,False
2020-04-12,0,False
2020-04-19,22,False
2020-04-26,21,False
2020-05-03,40,False
2020-05-10,39,False
