date,Heizungsfirma,isPartial
2018-01-07,66,False
2018-01-14,71,False
2018-01-21,78,False
2018-01-28,60,False
2018-02-04,37,False
2018-02-11,49,False
2018-02-18,73,False
2018-02-25,72,False
2018-03-04,49,False
2018-03-11,96,False
2018-03-18,30,False
2018-03-25,19,False
2018-04-01,39,False
2018-04-08,44,False
2018-04-15,51,False
2018-04-22,43,False
2018-04-29,45,False
2018-05-06,0,False
2018-05-13,31,False
2018-05-20,26,False
2018-05-27,25,False
2018-06-03,12,False
2018-06-10,30,False
2018-06-17,48,False
2018-06-24,31,False
2018-07-01,24,False
2018-07-08,48,False
2018-07-15,25,False
2018-07-22,13,False
2018-07-29,13,False
2018-08-05,25,False
2018-08-12,38,False
2018-08-19,38,False
2018-08-26,38,False
2018-09-02,49,False
2018-09-09,37,False
2018-09-16,31,False
2018-09-23,80,False
2018-09-30,74,False
2018-10-07,67,False
2018-10-14,80,False
2018-10-21,54,False
2018-10-28,60,False
2018-11-04,47,False
2018-11-11,54,False
2018-11-18,63,False
2018-11-25,96,False
2018-12-02,29,False
2018-12-09,42,False
2018-12-16,37,False
2018-12-23,56,False
2018-12-30,25,False
2019-01-06,28,False
2019-01-13,67,False
2019-01-20,50,False
2019-01-27,78,False
2019-02-03,79,False
2019-02-10,63,False
2019-02-17,63,False
2019-02-24,29,False
2019-03-03,34,False
2019-03-10,51,False
2019-03-17,59,False
2019-03-24,47,False
2019-03-31,77,False
2019-04-07,29,False
2019-04-14,44,False
2019-04-21,12,False
2019-04-28,40,False
2019-05-05,40,False
2019-05-12,41,False
2019-05-19,46,False
2019-05-26,24,False
2019-06-02,35,False
2019-06-09,30,False
2019-06-16,18,False
2019-06-23,18,False
2019-06-30,29,False
2019-07-07,52,False
2019-07-14,30,False
2019-07-21,51,False
2019-07-28,31,False
2019-08-04,12,False
2019-08-11,29,False
2019-08-18,54,False
2019-08-25,59,False
2019-09-01,40,False
2019-09-08,58,False
2019-09-15,46,False
2019-09-22,34,False
2019-09-29,51,False
2019-10-06,90,False
2019-10-13,45,False
2019-10-20,39,False
2019-10-27,82,False
2019-11-03,90,False
2019-11-10,54,False
2019-11-17,91,False
2019-11-24,58,False
2019-12-01,54,False
2019-12-08,59,False
2019-12-15,77,False
2019-12-22,56,False
2019-12-29,29,False
2020-01-05,52,False
2020-01-12,45,False
2020-01-19,93,False
2020-01-26,82,False
2020-02-02,36,False
2020-02-09,100,False
2020-02-16,31,False
2020-02-23,50,False
2020-03-01,50,False
2020-03-08,81,False
2020-03-15,14,False
2020-03-22,37,False
2020-03-29,74,False
2020-04-05,50,False
2020-04-12,24,False
2020-04-19,70,False
2020-04-26,27,False
2020-05-03,42,False
2020-05-10,23,False
