date,Heizungsfirma,isPartial
2018-01-07,48,False
2018-01-14,35,False
2018-01-21,54,False
2018-01-28,0,False
2018-02-04,37,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,70,False
2018-03-04,36,False
2018-03-11,71,False
2018-03-18,36,False
2018-03-25,38,False
2018-04-01,38,False
2018-04-08,0,False
2018-04-15,78,False
2018-04-22,75,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,39,False
2018-05-27,0,False
2018-06-03,38,False
2018-06-10,36,False
2018-06-17,36,False
2018-06-24,37,False
2018-07-01,38,False
2018-07-08,38,False
2018-07-15,39,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,36,False
2018-08-19,36,False
2018-08-26,0,False
2018-09-02,37,False
2018-09-09,37,False
2018-09-16,0,False
2018-09-23,91,False
2018-09-30,38,False
2018-10-07,0,False
2018-10-14,36,False
2018-10-21,35,False
2018-10-28,69,False
2018-11-04,34,False
2018-11-11,69,False
2018-11-18,67,False
2018-11-25,35,False
2018-12-02,0,False
2018-12-09,35,False
2018-12-16,53,False
2018-12-23,37,False
2018-12-30,0,False
2019-01-06,32,False
2019-01-13,32,False
2019-01-20,64,False
2019-01-27,48,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,34,False
2019-02-24,33,False
2019-03-03,100,False
2019-03-10,43,False
2019-03-17,0,False
2019-03-24,34,False
2019-03-31,35,False
2019-04-07,0,False
2019-04-14,36,False
2019-04-21,72,False
2019-04-28,0,False
2019-05-05,49,False
2019-05-12,0,False
2019-05-19,33,False
2019-05-26,0,False
2019-06-02,34,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,35,False
2019-06-30,33,False
2019-07-07,69,False
2019-07-14,36,False
2019-07-21,37,False
2019-07-28,35,False
2019-08-04,0,False
2019-08-11,33,False
2019-08-18,34,False
2019-08-25,33,False
2019-09-01,0,False
2019-09-08,33,False
2019-09-15,44,False
2019-09-22,0,False
2019-09-29,43,False
2019-10-06,49,False
2019-10-13,41,False
2019-10-20,94,False
2019-10-27,0,False
2019-11-03,30,False
2019-11-10,31,False
2019-11-17,30,False
2019-11-24,29,False
2019-12-01,31,False
2019-12-08,30,False
2019-12-15,46,False
2019-12-22,32,False
2019-12-29,0,False
2020-01-05,29,False
2020-01-12,28,False
2020-01-19,57,False
2020-01-26,0,False
2020-02-02,42,False
2020-02-09,59,False
2020-02-16,29,False
2020-02-23,28,False
2020-03-01,28,False
2020-03-08,0,False
2020-03-15,26,False
2020-03-22,25,False
2020-03-29,25,False
2020-04-05,28,False
2020-04-12,67,False
2020-04-19,52,False
2020-04-26,25,False
2020-05-03,39,False
2020-05-10,26,False
