date,terapia emocional,isPartial
2018-01-07,30,False
2018-01-14,50,False
2018-01-21,59,False
2018-01-28,49,False
2018-02-04,30,False
2018-02-11,61,False
2018-02-18,45,False
2018-02-25,29,False
2018-03-04,87,False
2018-03-11,58,False
2018-03-18,30,False
2018-03-25,0,False
2018-04-01,30,False
2018-04-08,47,False
2018-04-15,60,False
2018-04-22,43,False
2018-04-29,30,False
2018-05-06,29,False
2018-05-13,45,False
2018-05-20,29,False
2018-05-27,29,False
2018-06-03,29,False
2018-06-10,42,False
2018-06-17,31,False
2018-06-24,61,False
2018-07-01,46,False
2018-07-08,30,False
2018-07-15,31,False
2018-07-22,0,False
2018-07-29,31,False
2018-08-05,31,False
2018-08-12,0,False
2018-08-19,32,False
2018-08-26,46,False
2018-09-02,29,False
2018-09-09,58,False
2018-09-16,58,False
2018-09-23,29,False
2018-09-30,29,False
2018-10-07,75,False
2018-10-14,42,False
2018-10-21,29,False
2018-10-28,45,False
2018-11-04,28,False
2018-11-11,43,False
2018-11-18,55,False
2018-11-25,29,False
2018-12-02,30,False
2018-12-09,0,False
2018-12-16,30,False
2018-12-23,34,False
2018-12-30,50,False
2019-01-06,30,False
2019-01-13,43,False
2019-01-20,45,False
2019-01-27,27,False
2019-02-03,43,False
2019-02-10,29,False
2019-02-17,29,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,44,False
2019-03-17,30,False
2019-03-24,30,False
2019-03-31,0,False
2019-04-07,28,False
2019-04-14,30,False
2019-04-21,29,False
2019-04-28,29,False
2019-05-05,56,False
2019-05-12,28,False
2019-05-19,28,False
2019-05-26,28,False
2019-06-02,27,False
2019-06-09,27,False
2019-06-16,29,False
2019-06-23,44,False
2019-06-30,29,False
2019-07-07,57,False
2019-07-14,40,False
2019-07-21,59,False
2019-07-28,31,False
2019-08-04,30,False
2019-08-11,0,False
2019-08-18,40,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,27,False
2019-09-15,53,False
2019-09-22,54,False
2019-09-29,27,False
2019-10-06,80,False
2019-10-13,26,False
2019-10-20,52,False
2019-10-27,26,False
2019-11-03,26,False
2019-11-10,34,False
2019-11-17,52,False
2019-11-24,100,False
2019-12-01,27,False
2019-12-08,45,False
2019-12-15,35,False
2019-12-22,29,False
2019-12-29,29,False
2020-01-05,26,False
2020-01-12,36,False
2020-01-19,59,False
2020-01-26,37,False
2020-02-02,50,False
2020-02-09,58,False
2020-02-16,41,False
2020-02-23,32,False
2020-03-01,24,False
2020-03-08,23,False
2020-03-15,46,False
2020-03-22,33,False
2020-03-29,21,False
2020-04-05,23,False
2020-04-12,22,False
2020-04-19,21,False
2020-04-26,54,False
2020-05-03,64,False
2020-05-10,43,False
2020-05-17,26,True
