date,addio al nubilato,isPartial
2018-01-07,42,False
2018-01-14,35,False
2018-01-21,77,False
2018-01-28,34,False
2018-02-04,35,False
2018-02-11,56,False
2018-02-18,29,False
2018-02-25,35,False
2018-03-04,22,False
2018-03-11,64,False
2018-03-18,59,False
2018-03-25,68,False
2018-04-01,24,False
2018-04-08,90,False
2018-04-15,80,False
2018-04-22,72,False
2018-04-29,54,False
2018-05-06,90,False
2018-05-13,74,False
2018-05-20,67,False
2018-05-27,52,False
2018-06-03,60,False
2018-06-10,29,False
2018-06-17,74,False
2018-06-24,37,False
2018-07-01,58,False
2018-07-08,52,False
2018-07-15,97,False
2018-07-22,38,False
2018-07-29,67,False
2018-08-05,31,False
2018-08-12,42,False
2018-08-19,76,False
2018-08-26,28,False
2018-09-02,21,False
2018-09-09,29,False
2018-09-16,44,False
2018-09-23,37,False
2018-09-30,15,False
2018-10-07,30,False
2018-10-14,15,False
2018-10-21,0,False
2018-10-28,14,False
2018-11-04,14,False
2018-11-11,15,False
2018-11-18,37,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,31,False
2018-12-16,0,False
2018-12-23,35,False
2018-12-30,0,False
2019-01-06,44,False
2019-01-13,43,False
2019-01-20,41,False
2019-01-27,47,False
2019-02-03,41,False
2019-02-10,27,False
2019-02-17,56,False
2019-02-24,14,False
2019-03-03,36,False
2019-03-10,21,False
2019-03-17,14,False
2019-03-24,44,False
2019-03-31,70,False
2019-04-07,77,False
2019-04-14,22,False
2019-04-21,44,False
2019-04-28,48,False
2019-05-05,94,False
2019-05-12,100,False
2019-05-19,80,False
2019-05-26,72,False
2019-06-02,36,False
2019-06-09,79,False
2019-06-16,35,False
2019-06-23,43,False
2019-06-30,85,False
2019-07-07,29,False
2019-07-14,30,False
2019-07-21,59,False
2019-07-28,37,False
2019-08-04,46,False
2019-08-11,17,False
2019-08-18,30,False
2019-08-25,21,False
2019-09-01,20,False
2019-09-08,28,False
2019-09-15,14,False
2019-09-22,35,False
2019-09-29,34,False
2019-10-06,41,False
2019-10-13,54,False
2019-10-20,33,False
2019-10-27,40,False
2019-11-03,13,False
2019-11-10,13,False
2019-11-17,26,False
2019-11-24,19,False
2019-12-01,20,False
2019-12-08,27,False
2019-12-15,0,False
2019-12-22,16,False
2019-12-29,22,False
2020-01-05,33,False
2020-01-12,18,False
2020-01-19,64,False
2020-01-26,19,False
2020-02-02,50,False
2020-02-09,38,False
2020-02-16,31,False
2020-02-23,12,False
2020-03-01,29,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,11,False
2020-03-29,33,False
2020-04-05,0,False
2020-04-12,11,False
2020-04-19,11,False
2020-04-26,0,True
