date,Sonnenkraft,isPartial
2018-01-07,24,False
2018-01-14,0,False
2018-01-21,24,False
2018-01-28,24,False
2018-02-04,0,False
2018-02-11,49,False
2018-02-18,24,False
2018-02-25,0,False
2018-03-04,49,False
2018-03-11,24,False
2018-03-18,74,False
2018-03-25,26,False
2018-04-01,27,False
2018-04-08,0,False
2018-04-15,27,False
2018-04-22,77,False
2018-04-29,53,False
2018-05-06,27,False
2018-05-13,25,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,51,False
2018-06-10,49,False
2018-06-17,0,False
2018-06-24,49,False
2018-07-01,25,False
2018-07-08,25,False
2018-07-15,79,False
2018-07-22,26,False
2018-07-29,27,False
2018-08-05,52,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,25,False
2018-09-02,0,False
2018-09-09,26,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,52,False
2018-10-28,51,False
2018-11-04,24,False
2018-11-11,25,False
2018-11-18,24,False
2018-11-25,0,False
2018-12-02,25,False
2018-12-09,0,False
2018-12-16,25,False
2018-12-23,0,False
2018-12-30,25,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,46,False
2019-03-03,0,False
2019-03-10,45,False
2019-03-17,0,False
2019-03-24,48,False
2019-03-31,24,False
2019-04-07,0,False
2019-04-14,26,False
2019-04-21,26,False
2019-04-28,24,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,47,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,50,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,52,False
2019-07-28,0,False
2019-08-04,26,False
2019-08-11,25,False
2019-08-18,0,False
2019-08-25,72,False
2019-09-01,23,False
2019-09-08,48,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,45,False
2019-10-06,46,False
2019-10-13,23,False
2019-10-20,0,False
2019-10-27,23,False
2019-11-03,22,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,43,False
2020-01-12,20,False
2020-01-19,21,False
2020-01-26,41,False
2020-02-02,20,False
2020-02-09,0,False
2020-02-16,20,False
2020-02-23,19,False
2020-03-01,100,False
2020-03-08,77,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,38,False
2020-04-05,21,False
2020-04-12,0,False
2020-04-19,20,False
2020-04-26,20,False
2020-05-03,0,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,20,False
2020-05-31,0,False
2020-06-07,82,False
2020-06-14,39,False
2020-06-21,0,False
2020-06-28,21,False
2020-07-05,0,False
