date,Hausmeisterservice,isPartial
2018-01-07,54,False
2018-01-14,27,False
2018-01-21,54,False
2018-01-28,54,False
2018-02-04,28,False
2018-02-11,41,False
2018-02-18,27,False
2018-02-25,27,False
2018-03-04,56,False
2018-03-11,83,False
2018-03-18,56,False
2018-03-25,60,False
2018-04-01,0,False
2018-04-08,44,False
2018-04-15,60,False
2018-04-22,29,False
2018-04-29,31,False
2018-05-06,0,False
2018-05-13,89,False
2018-05-20,91,False
2018-05-27,0,False
2018-06-03,30,False
2018-06-10,0,False
2018-06-17,56,False
2018-06-24,29,False
2018-07-01,58,False
2018-07-08,29,False
2018-07-15,31,False
2018-07-22,0,False
2018-07-29,29,False
2018-08-05,0,False
2018-08-12,28,False
2018-08-19,28,False
2018-08-26,0,False
2018-09-02,28,False
2018-09-09,43,False
2018-09-16,0,False
2018-09-23,84,False
2018-09-30,30,False
2018-10-07,30,False
2018-10-14,55,False
2018-10-21,27,False
2018-10-28,26,False
2018-11-04,26,False
2018-11-11,27,False
2018-11-18,76,False
2018-11-25,27,False
2018-12-02,27,False
2018-12-09,52,False
2018-12-16,40,False
2018-12-23,0,False
2018-12-30,80,False
2019-01-06,73,False
2019-01-13,36,False
2019-01-20,0,False
2019-01-27,24,False
2019-02-03,25,False
2019-02-10,39,False
2019-02-17,26,False
2019-02-24,26,False
2019-03-03,100,False
2019-03-10,25,False
2019-03-17,40,False
2019-03-24,65,False
2019-03-31,53,False
2019-04-07,26,False
2019-04-14,29,False
2019-04-21,55,False
2019-04-28,38,False
2019-05-05,49,False
2019-05-12,26,False
2019-05-19,25,False
2019-05-26,0,False
2019-06-02,52,False
2019-06-09,64,False
2019-06-16,25,False
2019-06-23,26,False
2019-06-30,39,False
2019-07-07,26,False
2019-07-14,42,False
2019-07-21,29,False
2019-07-28,28,False
2019-08-04,27,False
2019-08-11,26,False
2019-08-18,26,False
2019-08-25,25,False
2019-09-01,25,False
2019-09-08,26,False
2019-09-15,26,False
2019-09-22,49,False
2019-09-29,49,False
2019-10-06,77,False
2019-10-13,0,False
2019-10-20,72,False
2019-10-27,23,False
2019-11-03,45,False
2019-11-10,46,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,24,False
2019-12-08,35,False
2019-12-15,24,False
2019-12-22,50,False
2019-12-29,0,False
2020-01-05,65,False
2020-01-12,32,False
2020-01-19,55,False
2020-01-26,22,False
2020-02-02,21,False
2020-02-09,45,False
2020-02-16,22,False
2020-02-23,0,False
2020-03-01,32,False
2020-03-08,71,False
2020-03-15,58,False
2020-03-22,19,False
2020-03-29,28,False
2020-04-05,43,False
2020-04-12,0,False
2020-04-19,20,False
2020-04-26,19,False
2020-05-03,29,False
2020-05-10,29,False
