date,psychologie sociale,isPartial
2018-01-07,100,False
2018-01-14,77,False
2018-01-21,43,False
2018-01-28,63,False
2018-02-04,57,False
2018-02-11,52,False
2018-02-18,65,False
2018-02-25,55,False
2018-03-04,41,False
2018-03-11,64,False
2018-03-18,67,False
2018-03-25,71,False
2018-04-01,57,False
2018-04-08,67,False
2018-04-15,44,False
2018-04-22,48,False
2018-04-29,42,False
2018-05-06,49,False
2018-05-13,58,False
2018-05-20,60,False
2018-05-27,32,False
2018-06-03,84,False
2018-06-10,31,False
2018-06-17,35,False
2018-06-24,50,False
2018-07-01,26,False
2018-07-08,24,False
2018-07-15,34,False
2018-07-22,28,False
2018-07-29,32,False
2018-08-05,16,False
2018-08-12,36,False
2018-08-19,26,False
2018-08-26,42,False
2018-09-02,51,False
2018-09-09,62,False
2018-09-16,59,False
2018-09-23,54,False
2018-09-30,59,False
2018-10-07,57,False
2018-10-14,45,False
2018-10-21,66,False
2018-10-28,63,False
2018-11-04,55,False
2018-11-11,63,False
2018-11-18,48,False
2018-11-25,67,False
2018-12-02,61,False
2018-12-09,80,False
2018-12-16,54,False
2018-12-23,14,False
2018-12-30,32,False
2019-01-06,66,False
2019-01-13,64,False
2019-01-20,51,False
2019-01-27,45,False
2019-02-03,45,False
2019-02-10,50,False
2019-02-17,48,False
2019-02-24,35,False
2019-03-03,34,False
2019-03-10,37,False
2019-03-17,50,False
2019-03-24,59,False
2019-03-31,60,False
2019-04-07,32,False
2019-04-14,72,False
2019-04-21,50,False
2019-04-28,57,False
2019-05-05,43,False
2019-05-12,60,False
2019-05-19,23,False
2019-05-26,52,False
2019-06-02,27,False
2019-06-09,33,False
2019-06-16,37,False
2019-06-23,37,False
2019-06-30,34,False
2019-07-07,34,False
2019-07-14,32,False
2019-07-21,12,False
2019-07-28,18,False
2019-08-04,28,False
2019-08-11,18,False
2019-08-18,24,False
2019-08-25,31,False
2019-09-01,53,False
2019-09-08,50,False
2019-09-15,77,False
2019-09-22,66,False
2019-09-29,50,False
2019-10-06,100,False
2019-10-13,70,False
2019-10-20,41,False
2019-10-27,61,False
2019-11-03,60,False
2019-11-10,50,False
2019-11-17,76,False
2019-11-24,66,False
2019-12-01,54,False
2019-12-08,59,False
2019-12-15,34,False
2019-12-22,21,False
2019-12-29,14,False
2020-01-05,61,False
2020-01-12,49,False
2020-01-19,59,False
2020-01-26,40,False
2020-02-02,53,False
2020-02-09,40,False
2020-02-16,46,False
2020-02-23,47,False
2020-03-01,70,False
2020-03-08,48,False
2020-03-15,34,False
2020-03-22,38,False
2020-03-29,49,False
2020-04-05,58,False
2020-04-12,41,False
2020-04-19,72,False
2020-04-26,64,False
2020-05-03,64,False
2020-05-10,68,False
2020-05-17,61,True
