date,Wasseranschluss verlegen,isPartial
2018-01-07,0,False
2018-01-14,26,False
2018-01-21,0,False
2018-01-28,26,False
2018-02-04,27,False
2018-02-11,0,False
2018-02-18,26,False
2018-02-25,26,False
2018-03-04,0,False
2018-03-11,26,False
2018-03-18,26,False
2018-03-25,42,False
2018-04-01,28,False
2018-04-08,36,False
2018-04-15,55,False
2018-04-22,26,False
2018-04-29,41,False
2018-05-06,56,False
2018-05-13,26,False
2018-05-20,28,False
2018-05-27,27,False
2018-06-03,27,False
2018-06-10,26,False
2018-06-17,26,False
2018-06-24,27,False
2018-07-01,26,False
2018-07-08,52,False
2018-07-15,28,False
2018-07-22,27,False
2018-07-29,0,False
2018-08-05,27,False
2018-08-12,28,False
2018-08-19,41,False
2018-08-26,27,False
2018-09-02,53,False
2018-09-09,0,False
2018-09-16,27,False
2018-09-23,27,False
2018-09-30,0,False
2018-10-07,53,False
2018-10-14,40,False
2018-10-21,39,False
2018-10-28,34,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,26,False
2018-12-02,25,False
2018-12-09,26,False
2018-12-16,26,False
2018-12-23,0,False
2018-12-30,27,False
2019-01-06,0,False
2019-01-13,24,False
2019-01-20,24,False
2019-01-27,73,False
2019-02-03,50,False
2019-02-10,25,False
2019-02-17,25,False
2019-02-24,0,False
2019-03-03,49,False
2019-03-10,49,False
2019-03-17,26,False
2019-03-24,100,False
2019-03-31,0,False
2019-04-07,38,False
2019-04-14,28,False
2019-04-21,27,False
2019-04-28,25,False
2019-05-05,25,False
2019-05-12,25,False
2019-05-19,33,False
2019-05-26,52,False
2019-06-02,25,False
2019-06-09,39,False
2019-06-16,0,False
2019-06-23,26,False
2019-06-30,25,False
2019-07-07,25,False
2019-07-14,35,False
2019-07-21,0,False
2019-07-28,27,False
2019-08-04,27,False
2019-08-11,26,False
2019-08-18,26,False
2019-08-25,51,False
2019-09-01,25,False
2019-09-08,25,False
2019-09-15,0,False
2019-09-22,24,False
2019-09-29,49,False
2019-10-06,24,False
2019-10-13,40,False
2019-10-20,24,False
2019-10-27,24,False
2019-11-03,34,False
2019-11-10,23,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,24,False
2019-12-08,0,False
2019-12-15,24,False
2019-12-22,27,False
2019-12-29,51,False
2020-01-05,45,False
2020-01-12,22,False
2020-01-19,22,False
2020-01-26,22,False
2020-02-02,22,False
2020-02-09,33,False
2020-02-16,23,False
2020-02-23,66,False
2020-03-01,33,False
2020-03-08,21,False
2020-03-15,20,False
2020-03-22,20,False
2020-03-29,39,False
2020-04-05,44,False
2020-04-12,21,False
2020-04-19,41,False
2020-04-26,40,False
2020-05-03,40,False
2020-05-10,27,False
