date,torta margherita,isPartial
2018-01-07,29,False
2018-01-14,22,False
2018-01-21,22,False
2018-01-28,29,False
2018-02-04,21,False
2018-02-11,14,False
2018-02-18,21,False
2018-02-25,49,False
2018-03-04,55,False
2018-03-11,28,False
2018-03-18,55,False
2018-03-25,29,False
2018-04-01,0,False
2018-04-08,42,False
2018-04-15,29,False
2018-04-22,15,False
2018-04-29,13,False
2018-05-06,28,False
2018-05-13,28,False
2018-05-20,14,False
2018-05-27,0,False
2018-06-03,13,False
2018-06-10,0,False
2018-06-17,26,False
2018-06-24,12,False
2018-07-01,11,False
2018-07-08,0,False
2018-07-15,11,False
2018-07-22,11,False
2018-07-29,23,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,12,False
2018-09-02,22,False
2018-09-09,11,False
2018-09-16,27,False
2018-09-23,18,False
2018-09-30,38,False
2018-10-07,34,False
2018-10-14,14,False
2018-10-21,29,False
2018-10-28,28,False
2018-11-04,21,False
2018-11-11,29,False
2018-11-18,71,False
2018-11-25,56,False
2018-12-02,0,False
2018-12-09,37,False
2018-12-16,15,False
2018-12-23,17,False
2018-12-30,16,False
2019-01-06,22,False
2019-01-13,0,False
2019-01-20,20,False
2019-01-27,34,False
2019-02-03,43,False
2019-02-10,22,False
2019-02-17,15,False
2019-02-24,21,False
2019-03-03,15,False
2019-03-10,29,False
2019-03-17,44,False
2019-03-24,15,False
2019-03-31,58,False
2019-04-07,14,False
2019-04-14,14,False
2019-04-21,15,False
2019-04-28,14,False
2019-05-05,14,False
2019-05-12,27,False
2019-05-19,14,False
2019-05-26,13,False
2019-06-02,27,False
2019-06-09,13,False
2019-06-16,0,False
2019-06-23,13,False
2019-06-30,13,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,12,False
2019-07-28,0,False
2019-08-04,12,False
2019-08-11,22,False
2019-08-18,10,False
2019-08-25,10,False
2019-09-01,54,False
2019-09-08,11,False
2019-09-15,18,False
2019-09-22,24,False
2019-09-29,0,False
2019-10-06,63,False
2019-10-13,13,False
2019-10-20,12,False
2019-10-27,13,False
2019-11-03,25,False
2019-11-10,37,False
2019-11-17,31,False
2019-11-24,24,False
2019-12-01,12,False
2019-12-08,0,False
2019-12-15,13,False
2019-12-22,14,False
2019-12-29,13,False
2020-01-05,42,False
2020-01-12,23,False
2020-01-19,23,False
2020-01-26,11,False
2020-02-02,11,False
2020-02-09,23,False
2020-02-16,17,False
2020-02-23,17,False
2020-03-01,27,False
2020-03-08,80,False
2020-03-15,85,False
2020-03-22,100,False
2020-03-29,94,False
2020-04-05,63,False
2020-04-12,73,False
2020-04-19,83,False
2020-04-26,61,True
