date,torta margherita,isPartial
2018-01-07,0,False
2018-01-14,33,False
2018-01-21,22,False
2018-01-28,49,False
2018-02-04,21,False
2018-02-11,21,False
2018-02-18,40,False
2018-02-25,29,False
2018-03-04,25,False
2018-03-11,20,False
2018-03-18,15,False
2018-03-25,11,False
2018-04-01,0,False
2018-04-08,45,False
2018-04-15,31,False
2018-04-22,22,False
2018-04-29,42,False
2018-05-06,39,False
2018-05-13,25,False
2018-05-20,30,False
2018-05-27,0,False
2018-06-03,21,False
2018-06-10,15,False
2018-06-17,29,False
2018-06-24,10,False
2018-07-01,10,False
2018-07-08,26,False
2018-07-15,16,False
2018-07-22,26,False
2018-07-29,21,False
2018-08-05,11,False
2018-08-12,27,False
2018-08-19,28,False
2018-08-26,30,False
2018-09-02,31,False
2018-09-09,10,False
2018-09-16,38,False
2018-09-23,20,False
2018-09-30,20,False
2018-10-07,20,False
2018-10-14,30,False
2018-10-21,25,False
2018-10-28,24,False
2018-11-04,70,False
2018-11-11,49,False
2018-11-18,15,False
2018-11-25,30,False
2018-12-02,27,False
2018-12-09,15,False
2018-12-16,38,False
2018-12-23,13,False
2018-12-30,58,False
2019-01-06,17,False
2019-01-13,33,False
2019-01-20,41,False
2019-01-27,42,False
2019-02-03,11,False
2019-02-10,11,False
2019-02-17,27,False
2019-02-24,24,False
2019-03-03,11,False
2019-03-10,11,False
2019-03-17,34,False
2019-03-24,33,False
2019-03-31,33,False
2019-04-07,10,False
2019-04-14,11,False
2019-04-21,12,False
2019-04-28,16,False
2019-05-05,34,False
2019-05-12,0,False
2019-05-19,11,False
2019-05-26,36,False
2019-06-02,11,False
2019-06-09,11,False
2019-06-16,0,False
2019-06-23,23,False
2019-06-30,12,False
2019-07-07,21,False
2019-07-14,12,False
2019-07-21,11,False
2019-07-28,12,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,20,False
2019-08-25,24,False
2019-09-01,15,False
2019-09-08,16,False
2019-09-15,21,False
2019-09-22,31,False
2019-09-29,16,False
2019-10-06,21,False
2019-10-13,11,False
2019-10-20,26,False
2019-10-27,32,False
2019-11-03,35,False
2019-11-10,15,False
2019-11-17,26,False
2019-11-24,15,False
2019-12-01,32,False
2019-12-08,16,False
2019-12-15,11,False
2019-12-22,13,False
2019-12-29,12,False
2020-01-05,11,False
2020-01-12,34,False
2020-01-19,20,False
2020-01-26,20,False
2020-02-02,29,False
2020-02-09,50,False
2020-02-16,15,False
2020-02-23,19,False
2020-03-01,19,False
2020-03-08,24,False
2020-03-15,85,False
2020-03-22,85,False
2020-03-29,100,False
2020-04-05,95,False
2020-04-12,58,False
2020-04-19,62,False
2020-04-26,63,True
