date,torta margherita,isPartial
2018-01-07,20,False
2018-01-14,17,False
2018-01-21,21,False
2018-01-28,23,False
2018-02-04,21,False
2018-02-11,20,False
2018-02-18,22,False
2018-02-25,28,False
2018-03-04,25,False
2018-03-11,26,False
2018-03-18,21,False
2018-03-25,18,False
2018-04-01,11,False
2018-04-08,13,False
2018-04-15,12,False
2018-04-22,13,False
2018-04-29,18,False
2018-05-06,13,False
2018-05-13,11,False
2018-05-20,13,False
2018-05-27,7,False
2018-06-03,10,False
2018-06-10,9,False
2018-06-17,6,False
2018-06-24,10,False
2018-07-01,6,False
2018-07-08,8,False
2018-07-15,10,False
2018-07-22,8,False
2018-07-29,5,False
2018-08-05,7,False
2018-08-12,10,False
2018-08-19,10,False
2018-08-26,11,False
2018-09-02,15,False
2018-09-09,9,False
2018-09-16,14,False
2018-09-23,14,False
2018-09-30,17,False
2018-10-07,20,False
2018-10-14,20,False
2018-10-21,22,False
2018-10-28,28,False
2018-11-04,18,False
2018-11-11,17,False
2018-11-18,15,False
2018-11-25,20,False
2018-12-02,17,False
2018-12-09,12,False
2018-12-16,15,False
2018-12-23,9,False
2018-12-30,15,False
2019-01-06,10,False
2019-01-13,19,False
2019-01-20,19,False
2019-01-27,22,False
2019-02-03,19,False
2019-02-10,16,False
2019-02-17,15,False
2019-02-24,12,False
2019-03-03,15,False
2019-03-10,19,False
2019-03-17,21,False
2019-03-24,18,False
2019-03-31,16,False
2019-04-07,17,False
2019-04-14,14,False
2019-04-21,11,False
2019-04-28,13,False
2019-05-05,13,False
2019-05-12,16,False
2019-05-19,14,False
2019-05-26,13,False
2019-06-02,11,False
2019-06-09,9,False
2019-06-16,5,False
2019-06-23,7,False
2019-06-30,4,False
2019-07-07,5,False
2019-07-14,7,False
2019-07-21,7,False
2019-07-28,8,False
2019-08-04,7,False
2019-08-11,12,False
2019-08-18,12,False
2019-08-25,10,False
2019-09-01,9,False
2019-09-08,14,False
2019-09-15,12,False
2019-09-22,18,False
2019-09-29,15,False
2019-10-06,22,False
2019-10-13,19,False
2019-10-20,17,False
2019-10-27,22,False
2019-11-03,21,False
2019-11-10,22,False
2019-11-17,21,False
2019-11-24,18,False
2019-12-01,15,False
2019-12-08,12,False
2019-12-15,14,False
2019-12-22,11,False
2019-12-29,11,False
2020-01-05,14,False
2020-01-12,21,False
2020-01-19,23,False
2020-01-26,19,False
2020-02-02,19,False
2020-02-09,19,False
2020-02-16,20,False
2020-02-23,24,False
2020-03-01,30,False
2020-03-08,56,False
2020-03-15,98,False
2020-03-22,100,False
2020-03-29,84,False
2020-04-05,60,False
2020-04-12,51,False
2020-04-19,68,False
2020-04-26,53,True
