date,torta margherita,isPartial
2018-01-07,14,False
2018-01-14,14,False
2018-01-21,0,False
2018-01-28,13,False
2018-02-04,26,False
2018-02-11,13,False
2018-02-18,34,False
2018-02-25,19,False
2018-03-04,40,False
2018-03-11,32,False
2018-03-18,27,False
2018-03-25,20,False
2018-04-01,14,False
2018-04-08,13,False
2018-04-15,14,False
2018-04-22,14,False
2018-04-29,0,False
2018-05-06,13,False
2018-05-13,40,False
2018-05-20,27,False
2018-05-27,0,False
2018-06-03,13,False
2018-06-10,25,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,13,False
2018-07-08,12,False
2018-07-15,12,False
2018-07-22,12,False
2018-07-29,13,False
2018-08-05,0,False
2018-08-12,12,False
2018-08-19,0,False
2018-08-26,19,False
2018-09-02,13,False
2018-09-09,20,False
2018-09-16,0,False
2018-09-23,33,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,14,False
2018-10-21,14,False
2018-10-28,39,False
2018-11-04,13,False
2018-11-11,28,False
2018-11-18,27,False
2018-11-25,14,False
2018-12-02,14,False
2018-12-09,14,False
2018-12-16,29,False
2018-12-23,16,False
2018-12-30,0,False
2019-01-06,28,False
2019-01-13,0,False
2019-01-20,25,False
2019-01-27,36,False
2019-02-03,13,False
2019-02-10,0,False
2019-02-17,40,False
2019-02-24,13,False
2019-03-03,31,False
2019-03-10,0,False
2019-03-17,38,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,32,False
2019-04-14,13,False
2019-04-21,12,False
2019-04-28,0,False
2019-05-05,24,False
2019-05-12,19,False
2019-05-19,0,False
2019-05-26,12,False
2019-06-02,26,False
2019-06-09,12,False
2019-06-16,12,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,17,False
2019-07-14,12,False
2019-07-21,12,False
2019-07-28,12,False
2019-08-04,0,False
2019-08-11,11,False
2019-08-18,0,False
2019-08-25,11,False
2019-09-01,11,False
2019-09-08,18,False
2019-09-15,12,False
2019-09-22,11,False
2019-09-29,12,False
2019-10-06,18,False
2019-10-13,23,False
2019-10-20,16,False
2019-10-27,23,False
2019-11-03,11,False
2019-11-10,17,False
2019-11-17,11,False
2019-11-24,11,False
2019-12-01,12,False
2019-12-08,12,False
2019-12-15,18,False
2019-12-22,14,False
2019-12-29,13,False
2020-01-05,12,False
2020-01-12,11,False
2020-01-19,24,False
2020-01-26,17,False
2020-02-02,17,False
2020-02-09,12,False
2020-02-16,34,False
2020-02-23,11,False
2020-03-01,21,False
2020-03-08,40,False
2020-03-15,83,False
2020-03-22,100,False
2020-03-29,35,False
2020-04-05,41,False
2020-04-12,31,False
2020-04-19,44,False
2020-04-26,42,True
