date,bodas en la playa,isPartial
2018-01-07,39,False
2018-01-14,59,False
2018-01-21,39,False
2018-01-28,39,False
2018-02-04,49,False
2018-02-11,20,False
2018-02-18,50,False
2018-02-25,57,False
2018-03-04,48,False
2018-03-11,0,False
2018-03-18,40,False
2018-03-25,88,False
2018-04-01,40,False
2018-04-08,47,False
2018-04-15,39,False
2018-04-22,48,False
2018-04-29,40,False
2018-05-06,28,False
2018-05-13,39,False
2018-05-20,48,False
2018-05-27,58,False
2018-06-03,37,False
2018-06-10,46,False
2018-06-17,40,False
2018-06-24,91,False
2018-07-01,100,False
2018-07-08,59,False
2018-07-15,20,False
2018-07-22,41,False
2018-07-29,42,False
2018-08-05,51,False
2018-08-12,21,False
2018-08-19,42,False
2018-08-26,30,False
2018-09-02,29,False
2018-09-09,29,False
2018-09-16,58,False
2018-09-23,38,False
2018-09-30,19,False
2018-10-07,30,False
2018-10-14,38,False
2018-10-21,39,False
2018-10-28,20,False
2018-11-04,46,False
2018-11-11,94,False
2018-11-18,37,False
2018-11-25,38,False
2018-12-02,20,False
2018-12-09,30,False
2018-12-16,20,False
2018-12-23,0,False
2018-12-30,32,False
2019-01-06,49,False
2019-01-13,19,False
2019-01-20,36,False
2019-01-27,36,False
2019-02-03,28,False
2019-02-10,47,False
2019-02-17,19,False
2019-02-24,93,False
2019-03-03,19,False
2019-03-10,20,False
2019-03-17,19,False
2019-03-24,19,False
2019-03-31,0,False
2019-04-07,37,False
2019-04-14,20,False
2019-04-21,38,False
2019-04-28,28,False
2019-05-05,55,False
2019-05-12,56,False
2019-05-19,73,False
2019-05-26,36,False
2019-06-02,27,False
2019-06-09,64,False
2019-06-16,47,False
2019-06-23,39,False
2019-06-30,58,False
2019-07-07,19,False
2019-07-14,59,False
2019-07-21,59,False
2019-07-28,60,False
2019-08-04,50,False
2019-08-11,41,False
2019-08-18,39,False
2019-08-25,65,False
2019-09-01,72,False
2019-09-08,53,False
2019-09-15,26,False
2019-09-22,18,False
2019-09-29,35,False
2019-10-06,17,False
2019-10-13,0,False
2019-10-20,26,False
2019-10-27,26,False
2019-11-03,34,False
2019-11-10,17,False
2019-11-17,17,False
2019-11-24,16,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,34,False
2019-12-22,19,False
2019-12-29,19,False
2020-01-05,17,False
2020-01-12,32,False
2020-01-19,47,False
2020-01-26,0,False
2020-02-02,24,False
2020-02-09,41,False
2020-02-16,33,False
2020-02-23,16,False
2020-03-01,23,False
2020-03-08,62,False
2020-03-15,0,False
2020-03-22,14,False
2020-03-29,14,False
2020-04-05,45,False
2020-04-12,25,True
