date,Autosattlerei,isPartial
2018-01-07,95,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,47,False
2018-02-04,48,False
2018-02-11,49,False
2018-02-18,65,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,49,False
2018-03-25,0,False
2018-04-01,51,False
2018-04-08,51,False
2018-04-15,51,False
2018-04-22,49,False
2018-04-29,51,False
2018-05-06,50,False
2018-05-13,49,False
2018-05-20,0,False
2018-05-27,75,False
2018-06-03,100,False
2018-06-10,48,False
2018-06-17,49,False
2018-06-24,50,False
2018-07-01,51,False
2018-07-08,50,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,73,False
2018-08-05,48,False
2018-08-12,96,False
2018-08-19,0,False
2018-08-26,49,False
2018-09-02,49,False
2018-09-09,49,False
2018-09-16,0,False
2018-09-23,49,False
2018-09-30,52,False
2018-10-07,51,False
2018-10-14,49,False
2018-10-21,48,False
2018-10-28,94,False
2018-11-04,92,False
2018-11-11,47,False
2018-11-18,92,False
2018-11-25,47,False
2018-12-02,47,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,52,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,89,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,45,False
2019-02-10,46,False
2019-02-17,0,False
2019-02-24,49,False
2019-03-03,0,False
2019-03-10,45,False
2019-03-17,47,False
2019-03-24,0,False
2019-03-31,47,False
2019-04-07,47,False
2019-04-14,0,False
2019-04-21,48,False
2019-04-28,47,False
2019-05-05,45,False
2019-05-12,94,False
2019-05-19,46,False
2019-05-26,46,False
2019-06-02,0,False
2019-06-09,47,False
2019-06-16,47,False
2019-06-23,48,False
2019-06-30,64,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,100,False
2019-08-04,47,False
2019-08-11,67,False
2019-08-18,91,False
2019-08-25,45,False
2019-09-01,45,False
2019-09-08,46,False
2019-09-15,0,False
2019-09-22,45,False
2019-09-29,46,False
2019-10-06,45,False
2019-10-13,44,False
2019-10-20,43,False
2019-10-27,42,False
2019-11-03,42,False
2019-11-10,43,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,64,False
2019-12-15,88,False
2019-12-22,0,False
2019-12-29,89,False
2020-01-05,41,False
2020-01-12,0,False
2020-01-19,41,False
2020-01-26,0,False
2020-02-02,39,False
2020-02-09,0,False
2020-02-16,42,False
2020-02-23,39,False
2020-03-01,0,False
2020-03-08,37,False
2020-03-15,53,False
2020-03-22,34,False
2020-03-29,68,False
2020-04-05,38,False
2020-04-12,36,False
2020-04-19,70,False
2020-04-26,34,False
2020-05-03,35,False
2020-05-10,36,False
