date,bouquet sposa,isPartial
2018-01-07,65,False
2018-01-14,48,False
2018-01-21,32,False
2018-01-28,32,False
2018-02-04,31,False
2018-02-11,64,False
2018-02-18,0,False
2018-02-25,44,False
2018-03-04,94,False
2018-03-11,32,False
2018-03-18,31,False
2018-03-25,33,False
2018-04-01,34,False
2018-04-08,32,False
2018-04-15,82,False
2018-04-22,68,False
2018-04-29,66,False
2018-05-06,97,False
2018-05-13,97,False
2018-05-20,65,False
2018-05-27,33,False
2018-06-03,67,False
2018-06-10,30,False
2018-06-17,31,False
2018-06-24,93,False
2018-07-01,63,False
2018-07-08,31,False
2018-07-15,0,False
2018-07-22,31,False
2018-07-29,61,False
2018-08-05,30,False
2018-08-12,0,False
2018-08-19,27,False
2018-08-26,55,False
2018-09-02,59,False
2018-09-09,47,False
2018-09-16,31,False
2018-09-23,63,False
2018-09-30,79,False
2018-10-07,67,False
2018-10-14,33,False
2018-10-21,33,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,100,False
2018-11-18,0,False
2018-11-25,32,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,31,False
2019-01-13,62,False
2019-01-20,58,False
2019-01-27,58,False
2019-02-03,0,False
2019-02-10,28,False
2019-02-17,59,False
2019-02-24,0,False
2019-03-03,31,False
2019-03-10,0,False
2019-03-17,31,False
2019-03-24,30,False
2019-03-31,30,False
2019-04-07,29,False
2019-04-14,0,False
2019-04-21,31,False
2019-04-28,29,False
2019-05-05,44,False
2019-05-12,56,False
2019-05-19,43,False
2019-05-26,27,False
2019-06-02,60,False
2019-06-09,31,False
2019-06-16,31,False
2019-06-23,75,False
2019-06-30,0,False
2019-07-07,56,False
2019-07-14,0,False
2019-07-21,44,False
2019-07-28,28,False
2019-08-04,29,False
2019-08-11,29,False
2019-08-18,28,False
2019-08-25,0,False
2019-09-01,27,False
2019-09-08,27,False
2019-09-15,54,False
2019-09-22,0,False
2019-09-29,56,False
2019-10-06,28,False
2019-10-13,43,False
2019-10-20,0,False
2019-10-27,28,False
2019-11-03,27,False
2019-11-10,27,False
2019-11-17,83,False
2019-11-24,27,False
2019-12-01,42,False
2019-12-08,29,False
2019-12-15,42,False
2019-12-22,30,False
2019-12-29,0,False
2020-01-05,81,False
2020-01-12,26,False
2020-01-19,53,False
2020-01-26,26,False
2020-02-02,25,False
2020-02-09,53,False
2020-02-16,39,False
2020-02-23,25,False
2020-03-01,24,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,21,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,45,False
2020-04-19,0,False
2020-04-26,0,True
