date,dj set,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,19,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,20,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,23,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,22,False
2018-04-29,21,False
2018-05-06,21,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,22,False
2018-06-03,22,False
2018-06-10,19,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,20,False
2018-07-15,21,False
2018-07-22,0,False
2018-07-29,39,False
2018-08-05,38,False
2018-08-12,39,False
2018-08-19,18,False
2018-08-26,19,False
2018-09-02,20,False
2018-09-09,20,False
2018-09-16,0,False
2018-09-23,20,False
2018-09-30,20,False
2018-10-07,20,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,21,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,44,False
2018-12-09,0,False
2018-12-16,45,False
2018-12-23,24,False
2018-12-30,21,False
2019-01-06,0,False
2019-01-13,20,False
2019-01-20,19,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,19,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,19,False
2019-04-07,20,False
2019-04-14,0,False
2019-04-21,21,False
2019-04-28,20,False
2019-05-05,0,False
2019-05-12,19,False
2019-05-19,20,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,41,False
2019-06-16,21,False
2019-06-23,20,False
2019-06-30,21,False
2019-07-07,0,False
2019-07-14,20,False
2019-07-21,41,False
2019-07-28,0,False
2019-08-04,29,False
2019-08-11,100,False
2019-08-18,0,False
2019-08-25,18,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,19,False
2019-09-29,19,False
2019-10-06,0,False
2019-10-13,20,False
2019-10-20,18,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,19,False
2019-11-24,0,False
2019-12-01,39,False
2019-12-08,20,False
2019-12-15,20,False
2019-12-22,22,False
2019-12-29,20,False
2020-01-05,0,False
2020-01-12,18,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,18,False
2020-02-09,0,False
2020-02-16,19,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,31,False
2020-03-22,0,False
2020-03-29,15,False
2020-04-05,16,False
2020-04-12,24,False
2020-04-19,15,False
2020-04-26,0,True
