date,dj set,isPartial
2018-01-07,15,False
2018-01-14,0,False
2018-01-21,23,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,14,False
2018-02-18,14,False
2018-02-25,13,False
2018-03-04,20,False
2018-03-11,14,False
2018-03-18,14,False
2018-03-25,0,False
2018-04-01,15,False
2018-04-08,21,False
2018-04-15,14,False
2018-04-22,45,False
2018-04-29,14,False
2018-05-06,14,False
2018-05-13,27,False
2018-05-20,27,False
2018-05-27,14,False
2018-06-03,14,False
2018-06-10,14,False
2018-06-17,13,False
2018-06-24,22,False
2018-07-01,28,False
2018-07-08,14,False
2018-07-15,44,False
2018-07-22,15,False
2018-07-29,30,False
2018-08-05,39,False
2018-08-12,19,False
2018-08-19,19,False
2018-08-26,16,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,26,False
2018-09-23,14,False
2018-09-30,0,False
2018-10-07,14,False
2018-10-14,0,False
2018-10-21,27,False
2018-10-28,13,False
2018-11-04,13,False
2018-11-11,13,False
2018-11-18,14,False
2018-11-25,0,False
2018-12-02,19,False
2018-12-09,14,False
2018-12-16,22,False
2018-12-23,55,False
2018-12-30,24,False
2019-01-06,16,False
2019-01-13,15,False
2019-01-20,14,False
2019-01-27,26,False
2019-02-03,15,False
2019-02-10,45,False
2019-02-17,15,False
2019-02-24,27,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,32,False
2019-03-24,15,False
2019-03-31,15,False
2019-04-07,14,False
2019-04-14,15,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,27,False
2019-05-12,14,False
2019-05-19,22,False
2019-05-26,14,False
2019-06-02,30,False
2019-06-09,15,False
2019-06-16,24,False
2019-06-23,24,False
2019-06-30,33,False
2019-07-07,30,False
2019-07-14,33,False
2019-07-21,32,False
2019-07-28,0,False
2019-08-04,37,False
2019-08-11,100,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,14,False
2019-09-08,45,False
2019-09-15,29,False
2019-09-22,29,False
2019-09-29,15,False
2019-10-06,15,False
2019-10-13,15,False
2019-10-20,15,False
2019-10-27,14,False
2019-11-03,14,False
2019-11-10,28,False
2019-11-17,0,False
2019-11-24,14,False
2019-12-01,58,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,37,False
2019-12-29,26,False
2020-01-05,14,False
2020-01-12,13,False
2020-01-19,0,False
2020-01-26,27,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,27,False
2020-03-01,13,False
2020-03-08,0,False
2020-03-15,20,False
2020-03-22,36,False
2020-03-29,13,False
2020-04-05,13,False
2020-04-12,20,False
2020-04-19,18,False
2020-04-26,22,True
