date,Maurer,isPartial
2018-01-07,78,False
2018-01-14,43,False
2018-01-21,34,False
2018-01-28,65,False
2018-02-04,27,False
2018-02-11,26,False
2018-02-18,26,False
2018-02-25,51,False
2018-03-04,90,False
2018-03-11,64,False
2018-03-18,26,False
2018-03-25,41,False
2018-04-01,55,False
2018-04-08,55,False
2018-04-15,28,False
2018-04-22,54,False
2018-04-29,70,False
2018-05-06,43,False
2018-05-13,56,False
2018-05-20,28,False
2018-05-27,35,False
2018-06-03,27,False
2018-06-10,51,False
2018-06-17,26,False
2018-06-24,26,False
2018-07-01,28,False
2018-07-08,27,False
2018-07-15,47,False
2018-07-22,46,False
2018-07-29,54,False
2018-08-05,42,False
2018-08-12,78,False
2018-08-19,39,False
2018-08-26,40,False
2018-09-02,27,False
2018-09-09,40,False
2018-09-16,53,False
2018-09-23,44,False
2018-09-30,28,False
2018-10-07,0,False
2018-10-14,35,False
2018-10-21,25,False
2018-10-28,38,False
2018-11-04,41,False
2018-11-11,38,False
2018-11-18,32,False
2018-11-25,50,False
2018-12-02,100,False
2018-12-09,25,False
2018-12-16,67,False
2018-12-23,26,False
2018-12-30,25,False
2019-01-06,82,False
2019-01-13,46,False
2019-01-20,77,False
2019-01-27,23,False
2019-02-03,23,False
2019-02-10,62,False
2019-02-17,24,False
2019-02-24,40,False
2019-03-03,47,False
2019-03-10,39,False
2019-03-17,25,False
2019-03-24,86,False
2019-03-31,25,False
2019-04-07,25,False
2019-04-14,0,False
2019-04-21,39,False
2019-04-28,32,False
2019-05-05,47,False
2019-05-12,49,False
2019-05-19,36,False
2019-05-26,37,False
2019-06-02,24,False
2019-06-09,25,False
2019-06-16,33,False
2019-06-23,50,False
2019-06-30,40,False
2019-07-07,66,False
2019-07-14,26,False
2019-07-21,27,False
2019-07-28,42,False
2019-08-04,51,False
2019-08-11,60,False
2019-08-18,41,False
2019-08-25,32,False
2019-09-01,48,False
2019-09-08,64,False
2019-09-15,40,False
2019-09-22,23,False
2019-09-29,62,False
2019-10-06,0,False
2019-10-13,34,False
2019-10-20,23,False
2019-10-27,29,False
2019-11-03,65,False
2019-11-10,44,False
2019-11-17,43,False
2019-11-24,43,False
2019-12-01,22,False
2019-12-08,22,False
2019-12-15,33,False
2019-12-22,23,False
2019-12-29,34,False
2020-01-05,0,False
2020-01-12,51,False
2020-01-19,41,False
2020-01-26,34,False
2020-02-02,31,False
2020-02-09,32,False
2020-02-16,31,False
2020-02-23,0,False
2020-03-01,54,False
2020-03-08,38,False
2020-03-15,19,False
2020-03-22,18,False
2020-03-29,27,False
2020-04-05,41,False
2020-04-12,39,False
2020-04-19,38,False
2020-04-26,46,False
2020-05-03,28,False
2020-05-10,48,False
