date,Maurer,isPartial
2018-01-07,47,False
2018-01-14,45,False
2018-01-21,23,False
2018-01-28,45,False
2018-02-04,23,False
2018-02-11,45,False
2018-02-18,73,False
2018-02-25,88,False
2018-03-04,69,False
2018-03-11,61,False
2018-03-18,44,False
2018-03-25,47,False
2018-04-01,32,False
2018-04-08,23,False
2018-04-15,63,False
2018-04-22,60,False
2018-04-29,73,False
2018-05-06,26,False
2018-05-13,82,False
2018-05-20,25,False
2018-05-27,76,False
2018-06-03,69,False
2018-06-10,73,False
2018-06-17,52,False
2018-06-24,59,False
2018-07-01,39,False
2018-07-08,40,False
2018-07-15,51,False
2018-07-22,43,False
2018-07-29,88,False
2018-08-05,36,False
2018-08-12,54,False
2018-08-19,55,False
2018-08-26,48,False
2018-09-02,48,False
2018-09-09,35,False
2018-09-16,70,False
2018-09-23,47,False
2018-09-30,51,False
2018-10-07,66,False
2018-10-14,31,False
2018-10-21,74,False
2018-10-28,53,False
2018-11-04,29,False
2018-11-11,45,False
2018-11-18,22,False
2018-11-25,33,False
2018-12-02,51,False
2018-12-09,45,False
2018-12-16,32,False
2018-12-23,33,False
2018-12-30,0,False
2019-01-06,36,False
2019-01-13,21,False
2019-01-20,36,False
2019-01-27,57,False
2019-02-03,22,False
2019-02-10,44,False
2019-02-17,59,False
2019-02-24,66,False
2019-03-03,22,False
2019-03-10,60,False
2019-03-17,30,False
2019-03-24,57,False
2019-03-31,30,False
2019-04-07,45,False
2019-04-14,0,False
2019-04-21,81,False
2019-04-28,45,False
2019-05-05,66,False
2019-05-12,39,False
2019-05-19,52,False
2019-05-26,36,False
2019-06-02,35,False
2019-06-09,49,False
2019-06-16,37,False
2019-06-23,25,False
2019-06-30,100,False
2019-07-07,43,False
2019-07-14,72,False
2019-07-21,43,False
2019-07-28,27,False
2019-08-04,34,False
2019-08-11,36,False
2019-08-18,33,False
2019-08-25,50,False
2019-09-01,55,False
2019-09-08,61,False
2019-09-15,85,False
2019-09-22,45,False
2019-09-29,56,False
2019-10-06,32,False
2019-10-13,23,False
2019-10-20,76,False
2019-10-27,35,False
2019-11-03,29,False
2019-11-10,69,False
2019-11-17,48,False
2019-11-24,43,False
2019-12-01,23,False
2019-12-08,71,False
2019-12-15,72,False
2019-12-22,66,False
2019-12-29,55,False
2020-01-05,65,False
2020-01-12,36,False
2020-01-19,41,False
2020-01-26,31,False
2020-02-02,32,False
2020-02-09,53,False
2020-02-16,47,False
2020-02-23,61,False
2020-03-01,59,False
2020-03-08,74,False
2020-03-15,54,False
2020-03-22,43,False
2020-03-29,33,False
2020-04-05,30,False
2020-04-12,26,False
2020-04-19,46,False
2020-04-26,28,False
2020-05-03,33,False
2020-05-10,23,False
