date,professional makeup,isPartial
2018-01-07,22,False
2018-01-14,22,False
2018-01-21,22,False
2018-01-28,22,False
2018-02-04,21,False
2018-02-11,22,False
2018-02-18,53,False
2018-02-25,21,False
2018-03-04,31,False
2018-03-11,21,False
2018-03-18,43,False
2018-03-25,23,False
2018-04-01,24,False
2018-04-08,0,False
2018-04-15,22,False
2018-04-22,0,False
2018-04-29,88,False
2018-05-06,22,False
2018-05-13,33,False
2018-05-20,22,False
2018-05-27,33,False
2018-06-03,22,False
2018-06-10,42,False
2018-06-17,22,False
2018-06-24,33,False
2018-07-01,43,False
2018-07-08,0,False
2018-07-15,44,False
2018-07-22,33,False
2018-07-29,23,False
2018-08-05,23,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,22,False
2018-09-02,21,False
2018-09-09,53,False
2018-09-16,21,False
2018-09-23,0,False
2018-09-30,32,False
2018-10-07,22,False
2018-10-14,22,False
2018-10-21,22,False
2018-10-28,43,False
2018-11-04,0,False
2018-11-11,65,False
2018-11-18,21,False
2018-11-25,22,False
2018-12-02,77,False
2018-12-09,33,False
2018-12-16,0,False
2018-12-23,26,False
2018-12-30,0,False
2019-01-06,22,False
2019-01-13,0,False
2019-01-20,41,False
2019-01-27,20,False
2019-02-03,21,False
2019-02-10,21,False
2019-02-17,43,False
2019-02-24,32,False
2019-03-03,33,False
2019-03-10,43,False
2019-03-17,0,False
2019-03-24,33,False
2019-03-31,44,False
2019-04-07,32,False
2019-04-14,22,False
2019-04-21,0,False
2019-04-28,22,False
2019-05-05,21,False
2019-05-12,21,False
2019-05-19,21,False
2019-05-26,20,False
2019-06-02,21,False
2019-06-09,0,False
2019-06-16,22,False
2019-06-23,22,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,22,False
2019-07-21,44,False
2019-07-28,22,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,20,False
2019-09-08,0,False
2019-09-15,30,False
2019-09-22,20,False
2019-09-29,40,False
2019-10-06,41,False
2019-10-13,20,False
2019-10-20,20,False
2019-10-27,59,False
2019-11-03,19,False
2019-11-10,29,False
2019-11-17,68,False
2019-11-24,39,False
2019-12-01,100,False
2019-12-08,20,False
2019-12-15,0,False
2019-12-22,23,False
2019-12-29,23,False
2020-01-05,20,False
2020-01-12,55,False
2020-01-19,19,False
2020-01-26,19,False
2020-02-02,28,False
2020-02-09,19,False
2020-02-16,19,False
2020-02-23,35,False
2020-03-01,0,False
2020-03-08,17,False
2020-03-15,34,False
2020-03-22,16,False
2020-03-29,16,False
2020-04-05,0,False
2020-04-12,17,False
2020-04-19,25,False
2020-04-26,0,True
