date,Party Location mieten,isPartial
2018-01-07,21,False
2018-01-14,0,False
2018-01-21,21,False
2018-01-28,21,False
2018-02-04,0,False
2018-02-11,33,False
2018-02-18,33,False
2018-02-25,22,False
2018-03-04,44,False
2018-03-11,32,False
2018-03-18,22,False
2018-03-25,31,False
2018-04-01,23,False
2018-04-08,45,False
2018-04-15,23,False
2018-04-22,22,False
2018-04-29,23,False
2018-05-06,57,False
2018-05-13,22,False
2018-05-20,46,False
2018-05-27,22,False
2018-06-03,45,False
2018-06-10,32,False
2018-06-17,43,False
2018-06-24,45,False
2018-07-01,37,False
2018-07-08,22,False
2018-07-15,23,False
2018-07-22,23,False
2018-07-29,23,False
2018-08-05,22,False
2018-08-12,46,False
2018-08-19,23,False
2018-08-26,46,False
2018-09-02,22,False
2018-09-09,22,False
2018-09-16,44,False
2018-09-23,30,False
2018-09-30,100,False
2018-10-07,22,False
2018-10-14,44,False
2018-10-21,43,False
2018-10-28,72,False
2018-11-04,31,False
2018-11-11,28,False
2018-11-18,42,False
2018-11-25,63,False
2018-12-02,42,False
2018-12-09,21,False
2018-12-16,0,False
2018-12-23,25,False
2018-12-30,56,False
2019-01-06,41,False
2019-01-13,60,False
2019-01-20,40,False
2019-01-27,46,False
2019-02-03,27,False
2019-02-10,21,False
2019-02-17,31,False
2019-02-24,49,False
2019-03-03,41,False
2019-03-10,0,False
2019-03-17,49,False
2019-03-24,21,False
2019-03-31,0,False
2019-04-07,21,False
2019-04-14,23,False
2019-04-21,33,False
2019-04-28,41,False
2019-05-05,20,False
2019-05-12,35,False
2019-05-19,34,False
2019-05-26,21,False
2019-06-02,41,False
2019-06-09,53,False
2019-06-16,43,False
2019-06-23,43,False
2019-06-30,0,False
2019-07-07,42,False
2019-07-14,22,False
2019-07-21,34,False
2019-07-28,29,False
2019-08-04,44,False
2019-08-11,63,False
2019-08-18,43,False
2019-08-25,21,False
2019-09-01,31,False
2019-09-08,42,False
2019-09-15,21,False
2019-09-22,41,False
2019-09-29,27,False
2019-10-06,34,False
2019-10-13,40,False
2019-10-20,33,False
2019-10-27,32,False
2019-11-03,38,False
2019-11-10,26,False
2019-11-17,19,False
2019-11-24,31,False
2019-12-01,29,False
2019-12-08,29,False
2019-12-15,40,False
2019-12-22,30,False
2019-12-29,35,False
2020-01-05,31,False
2020-01-12,30,False
2020-01-19,49,False
2020-01-26,49,False
2020-02-02,61,False
2020-02-09,30,False
2020-02-16,37,False
2020-02-23,18,False
2020-03-01,45,False
2020-03-08,28,False
2020-03-15,17,False
2020-03-22,17,False
2020-03-29,16,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,17,False
2020-04-26,17,False
2020-05-03,0,False
2020-05-10,17,False
2020-05-17,40,True
