date,teatro magia,isPartial
2018-01-07,42,False
2018-01-14,43,False
2018-01-21,30,False
2018-01-28,18,False
2018-02-04,36,False
2018-02-11,25,False
2018-02-18,24,False
2018-02-25,65,False
2018-03-04,47,False
2018-03-11,24,False
2018-03-18,36,False
2018-03-25,20,False
2018-04-01,43,False
2018-04-08,23,False
2018-04-15,30,False
2018-04-22,35,False
2018-04-29,18,False
2018-05-06,12,False
2018-05-13,30,False
2018-05-20,0,False
2018-05-27,12,False
2018-06-03,35,False
2018-06-10,23,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,12,False
2018-07-08,12,False
2018-07-15,19,False
2018-07-22,13,False
2018-07-29,38,False
2018-08-05,32,False
2018-08-12,26,False
2018-08-19,13,False
2018-08-26,19,False
2018-09-02,0,False
2018-09-09,24,False
2018-09-16,18,False
2018-09-23,17,False
2018-09-30,36,False
2018-10-07,42,False
2018-10-14,17,False
2018-10-21,12,False
2018-10-28,24,False
2018-11-04,23,False
2018-11-11,35,False
2018-11-18,17,False
2018-11-25,23,False
2018-12-02,24,False
2018-12-09,25,False
2018-12-16,43,False
2018-12-23,28,False
2018-12-30,0,False
2019-01-06,18,False
2019-01-13,17,False
2019-01-20,33,False
2019-01-27,11,False
2019-02-03,47,False
2019-02-10,64,False
2019-02-17,29,False
2019-02-24,11,False
2019-03-03,47,False
2019-03-10,24,False
2019-03-17,12,False
2019-03-24,12,False
2019-03-31,11,False
2019-04-07,29,False
2019-04-14,30,False
2019-04-21,12,False
2019-04-28,29,False
2019-05-05,11,False
2019-05-12,11,False
2019-05-19,11,False
2019-05-26,17,False
2019-06-02,33,False
2019-06-09,11,False
2019-06-16,0,False
2019-06-23,12,False
2019-06-30,12,False
2019-07-07,23,False
2019-07-14,18,False
2019-07-21,24,False
2019-07-28,12,False
2019-08-04,37,False
2019-08-11,13,False
2019-08-18,24,False
2019-08-25,23,False
2019-09-01,17,False
2019-09-08,16,False
2019-09-15,27,False
2019-09-22,32,False
2019-09-29,11,False
2019-10-06,64,False
2019-10-13,42,False
2019-10-20,11,False
2019-10-27,27,False
2019-11-03,26,False
2019-11-10,42,False
2019-11-17,63,False
2019-11-24,40,False
2019-12-01,16,False
2019-12-08,50,False
2019-12-15,42,False
2019-12-22,89,False
2019-12-29,100,False
2020-01-05,42,False
2020-01-12,40,False
2020-01-19,19,False
2020-01-26,30,False
2020-02-02,30,False
2020-02-09,25,False
2020-02-16,55,False
2020-02-23,25,False
2020-03-01,34,False
2020-03-08,9,False
2020-03-15,19,False
2020-03-22,9,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,True
