date,torte di pasta di zucchero,isPartial
2018-01-07,38,False
2018-01-14,63,False
2018-01-21,50,False
2018-01-28,50,False
2018-02-04,86,False
2018-02-11,51,False
2018-02-18,65,False
2018-02-25,66,False
2018-03-04,80,False
2018-03-11,27,False
2018-03-18,27,False
2018-03-25,43,False
2018-04-01,30,False
2018-04-08,40,False
2018-04-15,94,False
2018-04-22,57,False
2018-04-29,83,False
2018-05-06,28,False
2018-05-13,95,False
2018-05-20,55,False
2018-05-27,42,False
2018-06-03,0,False
2018-06-10,25,False
2018-06-17,53,False
2018-06-24,53,False
2018-07-01,27,False
2018-07-08,40,False
2018-07-15,28,False
2018-07-22,66,False
2018-07-29,52,False
2018-08-05,50,False
2018-08-12,26,False
2018-08-19,24,False
2018-08-26,50,False
2018-09-02,64,False
2018-09-09,26,False
2018-09-16,38,False
2018-09-23,38,False
2018-09-30,0,False
2018-10-07,26,False
2018-10-14,40,False
2018-10-21,27,False
2018-10-28,52,False
2018-11-04,53,False
2018-11-11,28,False
2018-11-18,27,False
2018-11-25,54,False
2018-12-02,58,False
2018-12-09,28,False
2018-12-16,29,False
2018-12-23,31,False
2018-12-30,27,False
2019-01-06,52,False
2019-01-13,39,False
2019-01-20,25,False
2019-01-27,26,False
2019-02-03,50,False
2019-02-10,25,False
2019-02-17,26,False
2019-02-24,0,False
2019-03-03,81,False
2019-03-10,52,False
2019-03-17,39,False
2019-03-24,0,False
2019-03-31,50,False
2019-04-07,52,False
2019-04-14,53,False
2019-04-21,28,False
2019-04-28,26,False
2019-05-05,26,False
2019-05-12,100,False
2019-05-19,0,False
2019-05-26,48,False
2019-06-02,52,False
2019-06-09,27,False
2019-06-16,0,False
2019-06-23,27,False
2019-06-30,27,False
2019-07-07,27,False
2019-07-14,52,False
2019-07-21,67,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,80,False
2019-08-18,24,False
2019-08-25,48,False
2019-09-01,46,False
2019-09-08,25,False
2019-09-15,49,False
2019-09-22,49,False
2019-09-29,25,False
2019-10-06,25,False
2019-10-13,26,False
2019-10-20,24,False
2019-10-27,25,False
2019-11-03,36,False
2019-11-10,50,False
2019-11-17,0,False
2019-11-24,50,False
2019-12-01,26,False
2019-12-08,26,False
2019-12-15,26,False
2019-12-22,29,False
2019-12-29,27,False
2020-01-05,38,False
2020-01-12,72,False
2020-01-19,49,False
2020-01-26,48,False
2020-02-02,70,False
2020-02-09,24,False
2020-02-16,25,False
2020-02-23,24,False
2020-03-01,23,False
2020-03-08,21,False
2020-03-15,20,False
2020-03-22,19,False
2020-03-29,20,False
2020-04-05,21,False
2020-04-12,21,False
2020-04-19,59,False
2020-04-26,0,True
