date,torte di pasta di zucchero,isPartial
2018-01-07,82,False
2018-01-14,40,False
2018-01-21,65,False
2018-01-28,26,False
2018-02-04,52,False
2018-02-11,52,False
2018-02-18,64,False
2018-02-25,50,False
2018-03-04,61,False
2018-03-11,100,False
2018-03-18,25,False
2018-03-25,40,False
2018-04-01,55,False
2018-04-08,38,False
2018-04-15,52,False
2018-04-22,54,False
2018-04-29,39,False
2018-05-06,63,False
2018-05-13,75,False
2018-05-20,75,False
2018-05-27,51,False
2018-06-03,51,False
2018-06-10,25,False
2018-06-17,26,False
2018-06-24,26,False
2018-07-01,39,False
2018-07-08,53,False
2018-07-15,53,False
2018-07-22,27,False
2018-07-29,0,False
2018-08-05,30,False
2018-08-12,0,False
2018-08-19,34,False
2018-08-26,55,False
2018-09-02,50,False
2018-09-09,74,False
2018-09-16,49,False
2018-09-23,49,False
2018-09-30,37,False
2018-10-07,25,False
2018-10-14,25,False
2018-10-21,49,False
2018-10-28,49,False
2018-11-04,59,False
2018-11-11,61,False
2018-11-18,48,False
2018-11-25,49,False
2018-12-02,25,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,30,False
2018-12-30,57,False
2019-01-06,50,False
2019-01-13,36,False
2019-01-20,47,False
2019-01-27,59,False
2019-02-03,48,False
2019-02-10,24,False
2019-02-17,24,False
2019-02-24,50,False
2019-03-03,99,False
2019-03-10,37,False
2019-03-17,25,False
2019-03-24,38,False
2019-03-31,51,False
2019-04-07,49,False
2019-04-14,77,False
2019-04-21,0,False
2019-04-28,26,False
2019-05-05,25,False
2019-05-12,48,False
2019-05-19,24,False
2019-05-26,24,False
2019-06-02,25,False
2019-06-09,0,False
2019-06-16,63,False
2019-06-23,26,False
2019-06-30,39,False
2019-07-07,25,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,56,False
2019-08-04,0,False
2019-08-11,34,False
2019-08-18,31,False
2019-08-25,28,False
2019-09-01,24,False
2019-09-08,72,False
2019-09-15,70,False
2019-09-22,46,False
2019-09-29,23,False
2019-10-06,47,False
2019-10-13,82,False
2019-10-20,45,False
2019-10-27,23,False
2019-11-03,22,False
2019-11-10,0,False
2019-11-17,22,False
2019-11-24,22,False
2019-12-01,46,False
2019-12-08,47,False
2019-12-15,47,False
2019-12-22,28,False
2019-12-29,27,False
2020-01-05,35,False
2020-01-12,32,False
2020-01-19,44,False
2020-01-26,21,False
2020-02-02,42,False
2020-02-09,21,False
2020-02-16,43,False
2020-02-23,51,False
2020-03-01,20,False
2020-03-08,20,False
2020-03-15,21,False
2020-03-22,20,False
2020-03-29,30,False
2020-04-05,42,False
2020-04-12,42,False
2020-04-19,30,False
2020-04-26,0,True
