date,torte di pasta di zucchero,isPartial
2018-01-07,22,False
2018-01-14,52,False
2018-01-21,100,False
2018-01-28,43,False
2018-02-04,63,False
2018-02-11,14,False
2018-02-18,13,False
2018-02-25,25,False
2018-03-04,26,False
2018-03-11,52,False
2018-03-18,46,False
2018-03-25,63,False
2018-04-01,14,False
2018-04-08,26,False
2018-04-15,47,False
2018-04-22,42,False
2018-04-29,27,False
2018-05-06,39,False
2018-05-13,65,False
2018-05-20,0,False
2018-05-27,27,False
2018-06-03,34,False
2018-06-10,26,False
2018-06-17,19,False
2018-06-24,27,False
2018-07-01,20,False
2018-07-08,27,False
2018-07-15,28,False
2018-07-22,42,False
2018-07-29,0,False
2018-08-05,15,False
2018-08-12,18,False
2018-08-19,55,False
2018-08-26,16,False
2018-09-02,40,False
2018-09-09,13,False
2018-09-16,19,False
2018-09-23,39,False
2018-09-30,45,False
2018-10-07,20,False
2018-10-14,26,False
2018-10-21,52,False
2018-10-28,19,False
2018-11-04,37,False
2018-11-11,45,False
2018-11-18,32,False
2018-11-25,26,False
2018-12-02,18,False
2018-12-09,14,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,30,False
2019-01-06,59,False
2019-01-13,21,False
2019-01-20,41,False
2019-01-27,43,False
2019-02-03,14,False
2019-02-10,43,False
2019-02-17,14,False
2019-02-24,19,False
2019-03-03,30,False
2019-03-10,0,False
2019-03-17,30,False
2019-03-24,0,False
2019-03-31,29,False
2019-04-07,41,False
2019-04-14,21,False
2019-04-21,25,False
2019-04-28,28,False
2019-05-05,26,False
2019-05-12,21,False
2019-05-19,28,False
2019-05-26,14,False
2019-06-02,14,False
2019-06-09,14,False
2019-06-16,15,False
2019-06-23,0,False
2019-06-30,15,False
2019-07-07,14,False
2019-07-14,31,False
2019-07-21,15,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,18,False
2019-08-25,23,False
2019-09-01,34,False
2019-09-08,14,False
2019-09-15,0,False
2019-09-22,21,False
2019-09-29,14,False
2019-10-06,14,False
2019-10-13,21,False
2019-10-20,20,False
2019-10-27,21,False
2019-11-03,13,False
2019-11-10,0,False
2019-11-17,27,False
2019-11-24,13,False
2019-12-01,14,False
2019-12-08,28,False
2019-12-15,28,False
2019-12-22,0,False
2019-12-29,16,False
2020-01-05,0,False
2020-01-12,39,False
2020-01-19,13,False
2020-01-26,13,False
2020-02-02,25,False
2020-02-09,13,False
2020-02-16,0,False
2020-02-23,13,False
2020-03-01,25,False
2020-03-08,12,False
2020-03-15,12,False
2020-03-22,12,False
2020-03-29,12,False
2020-04-05,19,False
2020-04-12,25,False
2020-04-19,12,False
2020-04-26,0,True
