date,torte di pasta di zucchero,isPartial
2018-01-07,35,False
2018-01-14,46,False
2018-01-21,29,False
2018-01-28,46,False
2018-02-04,34,False
2018-02-11,49,False
2018-02-18,23,False
2018-02-25,50,False
2018-03-04,41,False
2018-03-11,36,False
2018-03-18,41,False
2018-03-25,38,False
2018-04-01,20,False
2018-04-08,37,False
2018-04-15,37,False
2018-04-22,25,False
2018-04-29,12,False
2018-05-06,23,False
2018-05-13,31,False
2018-05-20,49,False
2018-05-27,25,False
2018-06-03,31,False
2018-06-10,0,False
2018-06-17,30,False
2018-06-24,43,False
2018-07-01,49,False
2018-07-08,18,False
2018-07-15,38,False
2018-07-22,13,False
2018-07-29,19,False
2018-08-05,20,False
2018-08-12,28,False
2018-08-19,14,False
2018-08-26,33,False
2018-09-02,18,False
2018-09-09,36,False
2018-09-16,12,False
2018-09-23,18,False
2018-09-30,12,False
2018-10-07,25,False
2018-10-14,31,False
2018-10-21,24,False
2018-10-28,24,False
2018-11-04,36,False
2018-11-11,32,False
2018-11-18,100,False
2018-11-25,12,False
2018-12-02,26,False
2018-12-09,13,False
2018-12-16,13,False
2018-12-23,13,False
2018-12-30,38,False
2019-01-06,12,False
2019-01-13,23,False
2019-01-20,33,False
2019-01-27,23,False
2019-02-03,11,False
2019-02-10,23,False
2019-02-17,17,False
2019-02-24,41,False
2019-03-03,12,False
2019-03-10,23,False
2019-03-17,24,False
2019-03-24,18,False
2019-03-31,24,False
2019-04-07,30,False
2019-04-14,25,False
2019-04-21,37,False
2019-04-28,12,False
2019-05-05,23,False
2019-05-12,12,False
2019-05-19,46,False
2019-05-26,17,False
2019-06-02,12,False
2019-06-09,13,False
2019-06-16,12,False
2019-06-23,13,False
2019-06-30,13,False
2019-07-07,19,False
2019-07-14,19,False
2019-07-21,13,False
2019-07-28,39,False
2019-08-04,13,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,22,False
2019-09-08,11,False
2019-09-15,11,False
2019-09-22,27,False
2019-09-29,11,False
2019-10-06,11,False
2019-10-13,28,False
2019-10-20,28,False
2019-10-27,11,False
2019-11-03,10,False
2019-11-10,11,False
2019-11-17,22,False
2019-11-24,0,False
2019-12-01,11,False
2019-12-08,23,False
2019-12-15,11,False
2019-12-22,19,False
2019-12-29,0,False
2020-01-05,17,False
2020-01-12,21,False
2020-01-19,32,False
2020-01-26,21,False
2020-02-02,16,False
2020-02-09,0,False
2020-02-16,11,False
2020-02-23,10,False
2020-03-01,15,False
2020-03-08,0,False
2020-03-15,28,False
2020-03-22,26,False
2020-03-29,27,False
2020-04-05,9,False
2020-04-12,9,False
2020-04-19,9,False
2020-04-26,0,True
