date,apprendre les maths,isPartial
2018-01-07,81,False
2018-01-14,43,False
2018-01-21,43,False
2018-01-28,98,False
2018-02-04,54,False
2018-02-11,66,False
2018-02-18,67,False
2018-02-25,33,False
2018-03-04,49,False
2018-03-11,33,False
2018-03-18,66,False
2018-03-25,50,False
2018-04-01,34,False
2018-04-08,0,False
2018-04-15,36,False
2018-04-22,69,False
2018-04-29,34,False
2018-05-06,35,False
2018-05-13,66,False
2018-05-20,34,False
2018-05-27,32,False
2018-06-03,33,False
2018-06-10,47,False
2018-06-17,33,False
2018-06-24,33,False
2018-07-01,32,False
2018-07-08,0,False
2018-07-15,47,False
2018-07-22,36,False
2018-07-29,90,False
2018-08-05,0,False
2018-08-12,37,False
2018-08-19,36,False
2018-08-26,0,False
2018-09-02,56,False
2018-09-09,51,False
2018-09-16,100,False
2018-09-23,34,False
2018-09-30,34,False
2018-10-07,34,False
2018-10-14,0,False
2018-10-21,56,False
2018-10-28,51,False
2018-11-04,49,False
2018-11-11,32,False
2018-11-18,49,False
2018-11-25,87,False
2018-12-02,33,False
2018-12-09,50,False
2018-12-16,57,False
2018-12-23,38,False
2018-12-30,36,False
2019-01-06,0,False
2019-01-13,55,False
2019-01-20,48,False
2019-01-27,42,False
2019-02-03,32,False
2019-02-10,44,False
2019-02-17,51,False
2019-02-24,0,False
2019-03-03,49,False
2019-03-10,33,False
2019-03-17,67,False
2019-03-24,34,False
2019-03-31,49,False
2019-04-07,50,False
2019-04-14,45,False
2019-04-21,67,False
2019-04-28,33,False
2019-05-05,32,False
2019-05-12,0,False
2019-05-19,64,False
2019-05-26,33,False
2019-06-02,62,False
2019-06-09,31,False
2019-06-16,65,False
2019-06-23,96,False
2019-06-30,32,False
2019-07-07,54,False
2019-07-14,50,False
2019-07-21,34,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,35,False
2019-08-18,57,False
2019-08-25,33,False
2019-09-01,32,False
2019-09-08,94,False
2019-09-15,47,False
2019-09-22,60,False
2019-09-29,45,False
2019-10-06,71,False
2019-10-13,60,False
2019-10-20,41,False
2019-10-27,30,False
2019-11-03,49,False
2019-11-10,50,False
2019-11-17,39,False
2019-11-24,29,False
2019-12-01,58,False
2019-12-08,44,False
2019-12-15,89,False
2019-12-22,33,False
2019-12-29,73,False
2020-01-05,86,False
2020-01-12,28,False
2020-01-19,29,False
2020-01-26,43,False
2020-02-02,57,False
2020-02-09,28,False
2020-02-16,29,False
2020-02-23,46,False
2020-03-01,0,False
2020-03-08,55,False
2020-03-15,64,False
2020-03-22,76,False
2020-03-29,84,False
2020-04-05,59,False
2020-04-12,52,False
2020-04-19,0,False
2020-04-26,24,False
2020-05-03,40,False
2020-05-10,26,False
2020-05-17,64,True
