date,drone con telecamera,isPartial
2018-01-07,34,False
2018-01-14,10,False
2018-01-21,14,False
2018-01-28,29,False
2018-02-04,19,False
2018-02-11,19,False
2018-02-18,51,False
2018-02-25,18,False
2018-03-04,46,False
2018-03-11,23,False
2018-03-18,19,False
2018-03-25,15,False
2018-04-01,21,False
2018-04-08,47,False
2018-04-15,10,False
2018-04-22,30,False
2018-04-29,10,False
2018-05-06,9,False
2018-05-13,29,False
2018-05-20,14,False
2018-05-27,10,False
2018-06-03,29,False
2018-06-10,9,False
2018-06-17,48,False
2018-06-24,14,False
2018-07-01,28,False
2018-07-08,76,False
2018-07-15,63,False
2018-07-22,63,False
2018-07-29,64,False
2018-08-05,25,False
2018-08-12,16,False
2018-08-19,21,False
2018-08-26,20,False
2018-09-02,9,False
2018-09-09,28,False
2018-09-16,18,False
2018-09-23,28,False
2018-09-30,19,False
2018-10-07,19,False
2018-10-14,48,False
2018-10-21,14,False
2018-10-28,23,False
2018-11-04,55,False
2018-11-11,19,False
2018-11-18,65,False
2018-11-25,57,False
2018-12-02,81,False
2018-12-09,72,False
2018-12-16,95,False
2018-12-23,85,False
2018-12-30,52,False
2019-01-06,43,False
2019-01-13,51,False
2019-01-20,18,False
2019-01-27,27,False
2019-02-03,18,False
2019-02-10,9,False
2019-02-17,9,False
2019-02-24,14,False
2019-03-03,14,False
2019-03-10,0,False
2019-03-17,10,False
2019-03-24,10,False
2019-03-31,24,False
2019-04-07,9,False
2019-04-14,19,False
2019-04-21,10,False
2019-04-28,19,False
2019-05-05,18,False
2019-05-12,23,False
2019-05-19,9,False
2019-05-26,18,False
2019-06-02,14,False
2019-06-09,19,False
2019-06-16,10,False
2019-06-23,10,False
2019-06-30,10,False
2019-07-07,9,False
2019-07-14,43,False
2019-07-21,0,False
2019-07-28,29,False
2019-08-04,30,False
2019-08-11,21,False
2019-08-18,15,False
2019-08-25,28,False
2019-09-01,9,False
2019-09-08,9,False
2019-09-15,9,False
2019-09-22,0,False
2019-09-29,9,False
2019-10-06,9,False
2019-10-13,0,False
2019-10-20,17,False
2019-10-27,0,False
2019-11-03,8,False
2019-11-10,21,False
2019-11-17,25,False
2019-11-24,21,False
2019-12-01,18,False
2019-12-08,62,False
2019-12-15,54,False
2019-12-22,20,False
2019-12-29,15,False
2020-01-05,17,False
2020-01-12,20,False
2020-01-19,0,False
2020-01-26,12,False
2020-02-02,33,False
2020-02-09,8,False
2020-02-16,8,False
2020-02-23,8,False
2020-03-01,16,False
2020-03-08,15,False
2020-03-15,15,False
2020-03-22,67,False
2020-03-29,100,False
2020-04-05,26,False
2020-04-12,49,False
2020-04-19,29,False
2020-04-26,44,True
