date,notarios,isPartial
2018-01-07,35,False
2018-01-14,23,False
2018-01-21,35,False
2018-01-28,23,False
2018-02-04,69,False
2018-02-11,35,False
2018-02-18,47,False
2018-02-25,22,False
2018-03-04,12,False
2018-03-11,12,False
2018-03-18,59,False
2018-03-25,24,False
2018-04-01,24,False
2018-04-08,34,False
2018-04-15,34,False
2018-04-22,33,False
2018-04-29,58,False
2018-05-06,56,False
2018-05-13,23,False
2018-05-20,93,False
2018-05-27,91,False
2018-06-03,56,False
2018-06-10,78,False
2018-06-17,36,False
2018-06-24,12,False
2018-07-01,35,False
2018-07-08,33,False
2018-07-15,34,False
2018-07-22,23,False
2018-07-29,35,False
2018-08-05,11,False
2018-08-12,11,False
2018-08-19,12,False
2018-08-26,34,False
2018-09-02,33,False
2018-09-09,54,False
2018-09-16,33,False
2018-09-23,22,False
2018-09-30,69,False
2018-10-07,36,False
2018-10-14,32,False
2018-10-21,23,False
2018-10-28,35,False
2018-11-04,57,False
2018-11-11,11,False
2018-11-18,65,False
2018-11-25,36,False
2018-12-02,25,False
2018-12-09,12,False
2018-12-16,48,False
2018-12-23,0,False
2018-12-30,40,False
2019-01-06,35,False
2019-01-13,23,False
2019-01-20,43,False
2019-01-27,77,False
2019-02-03,57,False
2019-02-10,69,False
2019-02-17,58,False
2019-02-24,46,False
2019-03-03,45,False
2019-03-10,47,False
2019-03-17,36,False
2019-03-24,35,False
2019-03-31,22,False
2019-04-07,34,False
2019-04-14,21,False
2019-04-21,69,False
2019-04-28,68,False
2019-05-05,56,False
2019-05-12,78,False
2019-05-19,76,False
2019-05-26,11,False
2019-06-02,21,False
2019-06-09,55,False
2019-06-16,34,False
2019-06-23,45,False
2019-06-30,67,False
2019-07-07,32,False
2019-07-14,11,False
2019-07-21,44,False
2019-07-28,66,False
2019-08-04,11,False
2019-08-11,11,False
2019-08-18,66,False
2019-08-25,64,False
2019-09-01,41,False
2019-09-08,48,False
2019-09-15,21,False
2019-09-22,32,False
2019-09-29,52,False
2019-10-06,32,False
2019-10-13,42,False
2019-10-20,30,False
2019-10-27,31,False
2019-11-03,72,False
2019-11-10,31,False
2019-11-17,41,False
2019-11-24,69,False
2019-12-01,10,False
2019-12-08,53,False
2019-12-15,42,False
2019-12-22,100,False
2019-12-29,11,False
2020-01-05,10,False
2020-01-12,29,False
2020-01-19,9,False
2020-01-26,49,False
2020-02-02,58,False
2020-02-09,39,False
2020-02-16,48,False
2020-02-23,47,False
2020-03-01,56,False
2020-03-08,18,False
2020-03-15,63,False
2020-03-22,25,False
2020-03-29,49,False
2020-04-05,9,False
2020-04-12,0,True
