date,Sonnensegel,isPartial
2018-01-07,5,False
2018-01-14,7,False
2018-01-21,5,False
2018-01-28,3,False
2018-02-04,6,False
2018-02-11,7,False
2018-02-18,11,False
2018-02-25,5,False
2018-03-04,12,False
2018-03-11,8,False
2018-03-18,17,False
2018-03-25,22,False
2018-04-01,31,False
2018-04-08,35,False
2018-04-15,61,False
2018-04-22,45,False
2018-04-29,32,False
2018-05-06,71,False
2018-05-13,33,False
2018-05-20,31,False
2018-05-27,63,False
2018-06-03,52,False
2018-06-10,28,False
2018-06-17,25,False
2018-06-24,36,False
2018-07-01,45,False
2018-07-08,23,False
2018-07-15,48,False
2018-07-22,47,False
2018-07-29,63,False
2018-08-05,37,False
2018-08-12,30,False
2018-08-19,12,False
2018-08-26,7,False
2018-09-02,7,False
2018-09-09,13,False
2018-09-16,6,False
2018-09-23,12,False
2018-09-30,3,False
2018-10-07,10,False
2018-10-14,6,False
2018-10-21,5,False
2018-10-28,3,False
2018-11-04,12,False
2018-11-11,5,False
2018-11-18,3,False
2018-11-25,4,False
2018-12-02,0,False
2018-12-09,3,False
2018-12-16,3,False
2018-12-23,4,False
2018-12-30,10,False
2019-01-06,9,False
2019-01-13,8,False
2019-01-20,7,False
2019-01-27,3,False
2019-02-03,3,False
2019-02-10,5,False
2019-02-17,8,False
2019-02-24,23,False
2019-03-03,10,False
2019-03-10,16,False
2019-03-17,18,False
2019-03-24,20,False
2019-03-31,20,False
2019-04-07,16,False
2019-04-14,45,False
2019-04-21,34,False
2019-04-28,34,False
2019-05-05,21,False
2019-05-12,19,False
2019-05-19,29,False
2019-05-26,57,False
2019-06-02,57,False
2019-06-09,45,False
2019-06-16,29,False
2019-06-23,100,False
2019-06-30,66,False
2019-07-07,34,False
2019-07-14,23,False
2019-07-21,60,False
2019-07-28,30,False
2019-08-04,27,False
2019-08-11,14,False
2019-08-18,16,False
2019-08-25,16,False
2019-09-01,14,False
2019-09-08,5,False
2019-09-15,9,False
2019-09-22,5,False
2019-09-29,5,False
2019-10-06,5,False
2019-10-13,6,False
2019-10-20,6,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,4,False
2019-11-17,4,False
2019-11-24,7,False
2019-12-01,3,False
2019-12-08,4,False
2019-12-15,3,False
2019-12-22,7,False
2019-12-29,3,False
2020-01-05,4,False
2020-01-12,3,False
2020-01-19,5,False
2020-01-26,3,False
2020-02-02,8,False
2020-02-09,6,False
2020-02-16,9,False
2020-02-23,11,False
2020-03-01,14,False
2020-03-08,10,False
2020-03-15,14,False
2020-03-22,20,False
2020-03-29,26,False
2020-04-05,92,False
2020-04-12,84,False
2020-04-19,61,False
2020-04-26,50,False
2020-05-03,40,False
2020-05-10,26,False
