date,Sonnensegel,isPartial
2018-01-07,10,False
2018-01-14,13,False
2018-01-21,14,False
2018-01-28,0,False
2018-02-04,10,False
2018-02-11,10,False
2018-02-18,10,False
2018-02-25,0,False
2018-03-04,13,False
2018-03-11,10,False
2018-03-18,29,False
2018-03-25,34,False
2018-04-01,34,False
2018-04-08,37,False
2018-04-15,59,False
2018-04-22,61,False
2018-04-29,29,False
2018-05-06,95,False
2018-05-13,62,False
2018-05-20,100,False
2018-05-27,67,False
2018-06-03,65,False
2018-06-10,30,False
2018-06-17,30,False
2018-06-24,55,False
2018-07-01,69,False
2018-07-08,40,False
2018-07-15,76,False
2018-07-22,96,False
2018-07-29,88,False
2018-08-05,64,False
2018-08-12,40,False
2018-08-19,28,False
2018-08-26,19,False
2018-09-02,10,False
2018-09-09,14,False
2018-09-16,9,False
2018-09-23,10,False
2018-09-30,10,False
2018-10-07,10,False
2018-10-14,0,False
2018-10-21,18,False
2018-10-28,9,False
2018-11-04,0,False
2018-11-11,9,False
2018-11-18,18,False
2018-11-25,9,False
2018-12-02,0,False
2018-12-09,14,False
2018-12-16,0,False
2018-12-23,10,False
2018-12-30,19,False
2019-01-06,13,False
2019-01-13,9,False
2019-01-20,13,False
2019-01-27,18,False
2019-02-03,15,False
2019-02-10,18,False
2019-02-17,9,False
2019-02-24,28,False
2019-03-03,9,False
2019-03-10,23,False
2019-03-17,14,False
2019-03-24,28,False
2019-03-31,19,False
2019-04-07,38,False
2019-04-14,19,False
2019-04-21,80,False
2019-04-28,26,False
2019-05-05,48,False
2019-05-12,30,False
2019-05-19,30,False
2019-05-26,29,False
2019-06-02,76,False
2019-06-09,32,False
2019-06-16,61,False
2019-06-23,62,False
2019-06-30,46,False
2019-07-07,32,False
2019-07-14,23,False
2019-07-21,79,False
2019-07-28,63,False
2019-08-04,17,False
2019-08-11,11,False
2019-08-18,21,False
2019-08-25,17,False
2019-09-01,33,False
2019-09-08,14,False
2019-09-15,8,False
2019-09-22,17,False
2019-09-29,11,False
2019-10-06,11,False
2019-10-13,8,False
2019-10-20,8,False
2019-10-27,8,False
2019-11-03,8,False
2019-11-10,8,False
2019-11-17,8,False
2019-11-24,16,False
2019-12-01,0,False
2019-12-08,8,False
2019-12-15,8,False
2019-12-22,18,False
2019-12-29,8,False
2020-01-05,12,False
2020-01-12,15,False
2020-01-19,12,False
2020-01-26,8,False
2020-02-02,12,False
2020-02-09,19,False
2020-02-16,12,False
2020-02-23,8,False
2020-03-01,12,False
2020-03-08,17,False
2020-03-15,10,False
2020-03-22,27,False
2020-03-29,23,False
2020-04-05,78,False
2020-04-12,48,False
2020-04-19,39,False
2020-04-26,33,False
2020-05-03,42,False
2020-05-10,46,False
