date,bomboniere comunione,isPartial
2018-01-07,54,False
2018-01-14,63,False
2018-01-21,100,False
2018-01-28,80,False
2018-02-04,65,False
2018-02-11,61,False
2018-02-18,76,False
2018-02-25,45,False
2018-03-04,32,False
2018-03-11,63,False
2018-03-18,61,False
2018-03-25,36,False
2018-04-01,22,False
2018-04-08,36,False
2018-04-15,36,False
2018-04-22,19,False
2018-04-29,21,False
2018-05-06,20,False
2018-05-13,10,False
2018-05-20,15,False
2018-05-27,8,False
2018-06-03,5,False
2018-06-10,15,False
2018-06-17,15,False
2018-06-24,0,False
2018-07-01,5,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,5,False
2018-07-29,5,False
2018-08-05,6,False
2018-08-12,7,False
2018-08-19,14,False
2018-08-26,18,False
2018-09-02,10,False
2018-09-09,15,False
2018-09-16,17,False
2018-09-23,12,False
2018-09-30,10,False
2018-10-07,18,False
2018-10-14,10,False
2018-10-21,10,False
2018-10-28,30,False
2018-11-04,9,False
2018-11-11,20,False
2018-11-18,25,False
2018-11-25,0,False
2018-12-02,5,False
2018-12-09,5,False
2018-12-16,11,False
2018-12-23,17,False
2018-12-30,17,False
2019-01-06,26,False
2019-01-13,55,False
2019-01-20,47,False
2019-01-27,31,False
2019-02-03,49,False
2019-02-10,58,False
2019-02-17,64,False
2019-02-24,57,False
2019-03-03,46,False
2019-03-10,63,False
2019-03-17,56,False
2019-03-24,42,False
2019-03-31,14,False
2019-04-07,21,False
2019-04-14,16,False
2019-04-21,22,False
2019-04-28,27,False
2019-05-05,12,False
2019-05-12,13,False
2019-05-19,5,False
2019-05-26,16,False
2019-06-02,5,False
2019-06-09,5,False
2019-06-16,9,False
2019-06-23,0,False
2019-06-30,6,False
2019-07-07,5,False
2019-07-14,6,False
2019-07-21,6,False
2019-07-28,0,False
2019-08-04,7,False
2019-08-11,7,False
2019-08-18,7,False
2019-08-25,9,False
2019-09-01,5,False
2019-09-08,22,False
2019-09-15,5,False
2019-09-22,11,False
2019-09-29,19,False
2019-10-06,19,False
2019-10-13,22,False
2019-10-20,24,False
2019-10-27,13,False
2019-11-03,23,False
2019-11-10,21,False
2019-11-17,8,False
2019-11-24,13,False
2019-12-01,19,False
2019-12-08,19,False
2019-12-15,6,False
2019-12-22,10,False
2019-12-29,25,False
2020-01-05,22,False
2020-01-12,65,False
2020-01-19,67,False
2020-01-26,55,False
2020-02-02,25,False
2020-02-09,46,False
2020-02-16,36,False
2020-02-23,24,False
2020-03-01,46,False
2020-03-08,14,False
2020-03-15,0,False
2020-03-22,4,False
2020-03-29,5,False
2020-04-05,5,False
2020-04-12,0,False
2020-04-19,5,False
2020-04-26,8,True
