date,bomboniere comunione,isPartial
2018-01-07,69,False
2018-01-14,70,False
2018-01-21,57,False
2018-01-28,45,False
2018-02-04,33,False
2018-02-11,34,False
2018-02-18,76,False
2018-02-25,21,False
2018-03-04,45,False
2018-03-11,11,False
2018-03-18,44,False
2018-03-25,12,False
2018-04-01,73,False
2018-04-08,35,False
2018-04-15,12,False
2018-04-22,24,False
2018-04-29,12,False
2018-05-06,12,False
2018-05-13,12,False
2018-05-20,12,False
2018-05-27,12,False
2018-06-03,12,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,11,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,10,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,11,False
2018-09-23,0,False
2018-09-30,34,False
2018-10-07,12,False
2018-10-14,12,False
2018-10-21,12,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,12,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,22,False
2019-01-13,100,False
2019-01-20,62,False
2019-01-27,72,False
2019-02-03,71,False
2019-02-10,52,False
2019-02-17,21,False
2019-02-24,21,False
2019-03-03,22,False
2019-03-10,32,False
2019-03-17,44,False
2019-03-24,53,False
2019-03-31,21,False
2019-04-07,21,False
2019-04-14,22,False
2019-04-21,0,False
2019-04-28,31,False
2019-05-05,32,False
2019-05-12,31,False
2019-05-19,0,False
2019-05-26,10,False
2019-06-02,0,False
2019-06-09,11,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,10,False
2019-07-21,0,False
2019-07-28,10,False
2019-08-04,20,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,10,False
2019-09-01,0,False
2019-09-08,10,False
2019-09-15,0,False
2019-09-22,20,False
2019-09-29,10,False
2019-10-06,10,False
2019-10-13,20,False
2019-10-20,10,False
2019-10-27,30,False
2019-11-03,29,False
2019-11-10,10,False
2019-11-17,10,False
2019-11-24,0,False
2019-12-01,10,False
2019-12-08,31,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,30,False
2020-01-05,19,False
2020-01-12,56,False
2020-01-19,95,False
2020-01-26,38,False
2020-02-02,54,False
2020-02-09,19,False
2020-02-16,38,False
2020-02-23,36,False
2020-03-01,26,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,14,True
