date,Erdaushub entsorgen,isPartial
2018-01-07,15,False
2018-01-14,15,False
2018-01-21,15,False
2018-01-28,31,False
2018-02-04,16,False
2018-02-11,0,False
2018-02-18,15,False
2018-02-25,15,False
2018-03-04,16,False
2018-03-11,23,False
2018-03-18,31,False
2018-03-25,33,False
2018-04-01,50,False
2018-04-08,56,False
2018-04-15,73,False
2018-04-22,55,False
2018-04-29,41,False
2018-05-06,49,False
2018-05-13,47,False
2018-05-20,100,False
2018-05-27,48,False
2018-06-03,39,False
2018-06-10,30,False
2018-06-17,23,False
2018-06-24,40,False
2018-07-01,31,False
2018-07-08,70,False
2018-07-15,24,False
2018-07-22,16,False
2018-07-29,24,False
2018-08-05,32,False
2018-08-12,49,False
2018-08-19,16,False
2018-08-26,16,False
2018-09-02,63,False
2018-09-09,55,False
2018-09-16,39,False
2018-09-23,16,False
2018-09-30,39,False
2018-10-07,47,False
2018-10-14,47,False
2018-10-21,46,False
2018-10-28,30,False
2018-11-04,15,False
2018-11-11,15,False
2018-11-18,0,False
2018-11-25,15,False
2018-12-02,15,False
2018-12-09,0,False
2018-12-16,16,False
2018-12-23,18,False
2018-12-30,16,False
2019-01-06,22,False
2019-01-13,28,False
2019-01-20,43,False
2019-01-27,0,False
2019-02-03,29,False
2019-02-10,59,False
2019-02-17,44,False
2019-02-24,15,False
2019-03-03,29,False
2019-03-10,22,False
2019-03-17,45,False
2019-03-24,37,False
2019-03-31,23,False
2019-04-07,59,False
2019-04-14,49,False
2019-04-21,71,False
2019-04-28,36,False
2019-05-05,36,False
2019-05-12,45,False
2019-05-19,29,False
2019-05-26,38,False
2019-06-02,22,False
2019-06-09,45,False
2019-06-16,45,False
2019-06-23,68,False
2019-06-30,15,False
2019-07-07,44,False
2019-07-14,54,False
2019-07-21,40,False
2019-07-28,70,False
2019-08-04,24,False
2019-08-11,45,False
2019-08-18,30,False
2019-08-25,22,False
2019-09-01,58,False
2019-09-08,37,False
2019-09-15,15,False
2019-09-22,29,False
2019-09-29,29,False
2019-10-06,14,False
2019-10-13,21,False
2019-10-20,35,False
2019-10-27,49,False
2019-11-03,27,False
2019-11-10,27,False
2019-11-17,14,False
2019-11-24,27,False
2019-12-01,0,False
2019-12-08,14,False
2019-12-15,14,False
2019-12-22,16,False
2019-12-29,15,False
2020-01-05,20,False
2020-01-12,19,False
2020-01-19,33,False
2020-01-26,20,False
2020-02-02,13,False
2020-02-09,13,False
2020-02-16,47,False
2020-02-23,13,False
2020-03-01,32,False
2020-03-08,42,False
2020-03-15,53,False
2020-03-22,59,False
2020-03-29,41,False
2020-04-05,45,False
2020-04-12,31,False
2020-04-19,78,False
2020-04-26,70,False
2020-05-03,83,False
2020-05-10,72,False
