date,Badezimmer,isPartial
2018-01-07,52,False
2018-01-14,32,False
2018-01-21,43,False
2018-01-28,21,False
2018-02-04,31,False
2018-02-11,42,False
2018-02-18,59,False
2018-02-25,100,False
2018-03-04,41,False
2018-03-11,41,False
2018-03-18,32,False
2018-03-25,45,False
2018-04-01,23,False
2018-04-08,24,False
2018-04-15,23,False
2018-04-22,46,False
2018-04-29,68,False
2018-05-06,34,False
2018-05-13,44,False
2018-05-20,22,False
2018-05-27,0,False
2018-06-03,22,False
2018-06-10,40,False
2018-06-17,0,False
2018-06-24,20,False
2018-07-01,0,False
2018-07-08,58,False
2018-07-15,38,False
2018-07-22,20,False
2018-07-29,39,False
2018-08-05,37,False
2018-08-12,19,False
2018-08-19,19,False
2018-08-26,39,False
2018-09-02,21,False
2018-09-09,42,False
2018-09-16,21,False
2018-09-23,56,False
2018-09-30,56,False
2018-10-07,56,False
2018-10-14,23,False
2018-10-21,46,False
2018-10-28,53,False
2018-11-04,86,False
2018-11-11,22,False
2018-11-18,21,False
2018-11-25,22,False
2018-12-02,22,False
2018-12-09,32,False
2018-12-16,0,False
2018-12-23,46,False
2018-12-30,72,False
2019-01-06,40,False
2019-01-13,30,False
2019-01-20,40,False
2019-01-27,30,False
2019-02-03,40,False
2019-02-10,42,False
2019-02-17,20,False
2019-02-24,50,False
2019-03-03,20,False
2019-03-10,51,False
2019-03-17,31,False
2019-03-24,65,False
2019-03-31,21,False
2019-04-07,83,False
2019-04-14,22,False
2019-04-21,32,False
2019-04-28,31,False
2019-05-05,30,False
2019-05-12,59,False
2019-05-19,0,False
2019-05-26,19,False
2019-06-02,20,False
2019-06-09,40,False
2019-06-16,38,False
2019-06-23,20,False
2019-06-30,28,False
2019-07-07,63,False
2019-07-14,36,False
2019-07-21,18,False
2019-07-28,26,False
2019-08-04,18,False
2019-08-11,17,False
2019-08-18,59,False
2019-08-25,18,False
2019-09-01,18,False
2019-09-08,48,False
2019-09-15,29,False
2019-09-22,58,False
2019-09-29,38,False
2019-10-06,20,False
2019-10-13,49,False
2019-10-20,49,False
2019-10-27,28,False
2019-11-03,56,False
2019-11-10,18,False
2019-11-17,46,False
2019-11-24,28,False
2019-12-01,38,False
2019-12-08,19,False
2019-12-15,19,False
2019-12-22,39,False
2019-12-29,27,False
2020-01-05,61,False
2020-01-12,17,False
2020-01-19,43,False
2020-01-26,25,False
2020-02-02,41,False
2020-02-09,52,False
2020-02-16,34,False
2020-02-23,64,False
2020-03-01,32,False
2020-03-08,24,False
2020-03-15,16,False
2020-03-22,43,False
2020-03-29,38,False
2020-04-05,35,False
2020-04-12,33,False
2020-04-19,23,False
2020-04-26,39,False
2020-05-03,50,False
2020-05-10,16,False
2020-05-17,85,False
2020-05-24,33,False
2020-05-31,55,False
2020-06-07,40,False
2020-06-14,53,False
2020-06-21,16,False
2020-06-28,23,False
2020-07-05,47,False
