date,Nutritioniste,isPartial
2018-01-07,38,False
2018-01-14,51,False
2018-01-21,38,False
2018-01-28,47,False
2018-02-04,50,False
2018-02-11,78,False
2018-02-18,20,False
2018-02-25,41,False
2018-03-04,45,False
2018-03-11,39,False
2018-03-18,39,False
2018-03-25,59,False
2018-04-01,100,False
2018-04-08,19,False
2018-04-15,56,False
2018-04-22,55,False
2018-04-29,40,False
2018-05-06,21,False
2018-05-13,26,False
2018-05-20,39,False
2018-05-27,38,False
2018-06-03,38,False
2018-06-10,49,False
2018-06-17,46,False
2018-06-24,48,False
2018-07-01,47,False
2018-07-08,39,False
2018-07-15,29,False
2018-07-22,29,False
2018-07-29,23,False
2018-08-05,36,False
2018-08-12,37,False
2018-08-19,38,False
2018-08-26,35,False
2018-09-02,40,False
2018-09-09,32,False
2018-09-16,44,False
2018-09-23,32,False
2018-09-30,47,False
2018-10-07,50,False
2018-10-14,36,False
2018-10-21,19,False
2018-10-28,27,False
2018-11-04,44,False
2018-11-11,36,False
2018-11-18,56,False
2018-11-25,28,False
2018-12-02,19,False
2018-12-09,39,False
2018-12-16,49,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,51,False
2019-01-13,48,False
2019-01-20,37,False
2019-01-27,28,False
2019-02-03,18,False
2019-02-10,44,False
2019-02-17,25,False
2019-02-24,58,False
2019-03-03,25,False
2019-03-10,32,False
2019-03-17,39,False
2019-03-24,41,False
2019-03-31,20,False
2019-04-07,60,False
2019-04-14,21,False
2019-04-21,29,False
2019-04-28,0,False
2019-05-05,63,False
2019-05-12,54,False
2019-05-19,80,False
2019-05-26,21,False
2019-06-02,64,False
2019-06-09,20,False
2019-06-16,33,False
2019-06-23,20,False
2019-06-30,20,False
2019-07-07,48,False
2019-07-14,22,False
2019-07-21,35,False
2019-07-28,49,False
2019-08-04,51,False
2019-08-11,27,False
2019-08-18,76,False
2019-08-25,22,False
2019-09-01,27,False
2019-09-08,26,False
2019-09-15,39,False
2019-09-22,57,False
2019-09-29,37,False
2019-10-06,32,False
2019-10-13,49,False
2019-10-20,46,False
2019-10-27,40,False
2019-11-03,28,False
2019-11-10,19,False
2019-11-17,29,False
2019-11-24,37,False
2019-12-01,18,False
2019-12-08,18,False
2019-12-15,19,False
2019-12-22,23,False
2019-12-29,21,False
2020-01-05,43,False
2020-01-12,37,False
2020-01-19,57,False
2020-01-26,37,False
2020-02-02,37,False
2020-02-09,38,False
2020-02-16,26,False
2020-02-23,54,False
2020-03-01,35,False
2020-03-08,44,False
2020-03-15,37,False
2020-03-22,19,False
2020-03-29,38,False
2020-04-05,37,False
2020-04-12,38,False
2020-04-19,37,False
2020-04-26,18,False
2020-05-03,35,False
2020-05-10,31,False
2020-05-17,0,True
