date,Nutritioniste,isPartial
2018-01-07,0,False
2018-01-14,41,False
2018-01-21,0,False
2018-01-28,41,False
2018-02-04,42,False
2018-02-11,41,False
2018-02-18,82,False
2018-02-25,40,False
2018-03-04,42,False
2018-03-11,0,False
2018-03-18,42,False
2018-03-25,42,False
2018-04-01,42,False
2018-04-08,0,False
2018-04-15,87,False
2018-04-22,0,False
2018-04-29,41,False
2018-05-06,41,False
2018-05-13,41,False
2018-05-20,42,False
2018-05-27,41,False
2018-06-03,41,False
2018-06-10,40,False
2018-06-17,42,False
2018-06-24,83,False
2018-07-01,41,False
2018-07-08,41,False
2018-07-15,41,False
2018-07-22,41,False
2018-07-29,40,False
2018-08-05,39,False
2018-08-12,41,False
2018-08-19,42,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,63,False
2018-09-16,43,False
2018-09-23,43,False
2018-09-30,86,False
2018-10-07,0,False
2018-10-14,44,False
2018-10-21,45,False
2018-10-28,0,False
2018-11-04,41,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,43,False
2018-12-02,0,False
2018-12-09,67,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,43,False
2019-01-13,64,False
2019-01-20,42,False
2019-01-27,41,False
2019-02-03,43,False
2019-02-10,67,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,70,False
2019-03-10,43,False
2019-03-17,88,False
2019-03-24,43,False
2019-03-31,42,False
2019-04-07,43,False
2019-04-14,43,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,41,False
2019-05-12,42,False
2019-05-19,80,False
2019-05-26,80,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,39,False
2019-06-23,78,False
2019-06-30,39,False
2019-07-07,39,False
2019-07-14,40,False
2019-07-21,40,False
2019-07-28,81,False
2019-08-04,0,False
2019-08-11,36,False
2019-08-18,100,False
2019-08-25,0,False
2019-09-01,38,False
2019-09-08,39,False
2019-09-15,38,False
2019-09-22,38,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,38,False
2019-10-20,0,False
2019-10-27,77,False
2019-11-03,38,False
2019-11-10,37,False
2019-11-17,73,False
2019-11-24,37,False
2019-12-01,37,False
2019-12-08,37,False
2019-12-15,37,False
2019-12-22,42,False
2019-12-29,39,False
2020-01-05,0,False
2020-01-12,35,False
2020-01-19,36,False
2020-01-26,0,False
2020-02-02,36,False
2020-02-09,35,False
2020-02-16,53,False
2020-02-23,34,False
2020-03-01,50,False
2020-03-08,34,False
2020-03-15,31,False
2020-03-22,30,False
2020-03-29,30,False
2020-04-05,30,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,29,False
2020-05-10,29,False
2020-05-17,71,True
