date,Nutritioniste,isPartial
2018-01-07,67,False
2018-01-14,66,False
2018-01-21,44,False
2018-01-28,45,False
2018-02-04,46,False
2018-02-11,0,False
2018-02-18,95,False
2018-02-25,0,False
2018-03-04,45,False
2018-03-11,46,False
2018-03-18,0,False
2018-03-25,45,False
2018-04-01,0,False
2018-04-08,46,False
2018-04-15,0,False
2018-04-22,45,False
2018-04-29,43,False
2018-05-06,45,False
2018-05-13,45,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,42,False
2018-06-17,0,False
2018-06-24,44,False
2018-07-01,43,False
2018-07-08,0,False
2018-07-15,87,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,41,False
2018-08-12,84,False
2018-08-19,86,False
2018-08-26,44,False
2018-09-02,44,False
2018-09-09,0,False
2018-09-16,44,False
2018-09-23,46,False
2018-09-30,46,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,44,False
2018-11-04,44,False
2018-11-11,0,False
2018-11-18,44,False
2018-11-25,0,False
2018-12-02,67,False
2018-12-09,0,False
2018-12-16,46,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,45,False
2019-01-13,44,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,44,False
2019-02-10,71,False
2019-02-17,48,False
2019-02-24,100,False
2019-03-03,46,False
2019-03-10,45,False
2019-03-17,47,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,39,False
2019-04-14,0,False
2019-04-21,40,False
2019-04-28,0,False
2019-05-05,37,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,35,False
2019-06-09,0,False
2019-06-16,37,False
2019-06-23,37,False
2019-06-30,36,False
2019-07-07,35,False
2019-07-14,36,False
2019-07-21,38,False
2019-07-28,39,False
2019-08-04,0,False
2019-08-11,37,False
2019-08-18,0,False
2019-08-25,74,False
2019-09-01,74,False
2019-09-08,0,False
2019-09-15,35,False
2019-09-22,0,False
2019-09-29,51,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,56,False
2019-10-27,0,False
2019-11-03,33,False
2019-11-10,0,False
2019-11-17,37,False
2019-11-24,0,False
2019-12-01,37,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,39,False
2019-12-29,0,False
2020-01-05,35,False
2020-01-12,33,False
2020-01-19,68,False
2020-01-26,34,False
2020-02-02,35,False
2020-02-09,51,False
2020-02-16,0,False
2020-02-23,68,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,31,False
2020-03-29,0,False
2020-04-05,30,False
2020-04-12,0,False
2020-04-19,30,False
2020-04-26,29,False
2020-05-03,29,False
2020-05-10,31,False
2020-05-17,77,True
