date,pintar casa,isPartial
2018-01-07,20,False
2018-01-14,64,False
2018-01-21,49,False
2018-01-28,61,False
2018-02-04,42,False
2018-02-11,22,False
2018-02-18,35,False
2018-02-25,30,False
2018-03-04,59,False
2018-03-11,39,False
2018-03-18,52,False
2018-03-25,45,False
2018-04-01,61,False
2018-04-08,53,False
2018-04-15,64,False
2018-04-22,51,False
2018-04-29,49,False
2018-05-06,62,False
2018-05-13,53,False
2018-05-20,63,False
2018-05-27,35,False
2018-06-03,68,False
2018-06-10,33,False
2018-06-17,36,False
2018-06-24,28,False
2018-07-01,29,False
2018-07-08,83,False
2018-07-15,65,False
2018-07-22,50,False
2018-07-29,42,False
2018-08-05,41,False
2018-08-12,41,False
2018-08-19,70,False
2018-08-26,62,False
2018-09-02,20,False
2018-09-09,47,False
2018-09-16,48,False
2018-09-23,47,False
2018-09-30,62,False
2018-10-07,48,False
2018-10-14,30,False
2018-10-21,41,False
2018-10-28,84,False
2018-11-04,46,False
2018-11-11,31,False
2018-11-18,29,False
2018-11-25,34,False
2018-12-02,0,False
2018-12-09,58,False
2018-12-16,43,False
2018-12-23,36,False
2018-12-30,47,False
2019-01-06,28,False
2019-01-13,60,False
2019-01-20,44,False
2019-01-27,45,False
2019-02-03,35,False
2019-02-10,34,False
2019-02-17,42,False
2019-02-24,22,False
2019-03-03,52,False
2019-03-10,50,False
2019-03-17,56,False
2019-03-24,76,False
2019-03-31,33,False
2019-04-07,41,False
2019-04-14,30,False
2019-04-21,26,False
2019-04-28,41,False
2019-05-05,32,False
2019-05-12,49,False
2019-05-19,34,False
2019-05-26,40,False
2019-06-02,20,False
2019-06-09,100,False
2019-06-16,42,False
2019-06-23,48,False
2019-06-30,48,False
2019-07-07,34,False
2019-07-14,42,False
2019-07-21,62,False
2019-07-28,42,False
2019-08-04,68,False
2019-08-11,47,False
2019-08-18,33,False
2019-08-25,45,False
2019-09-01,38,False
2019-09-08,38,False
2019-09-15,58,False
2019-09-22,58,False
2019-09-29,39,False
2019-10-06,32,False
2019-10-13,31,False
2019-10-20,50,False
2019-10-27,37,False
2019-11-03,28,False
2019-11-10,24,False
2019-11-17,27,False
2019-11-24,42,False
2019-12-01,67,False
2019-12-08,26,False
2019-12-15,24,False
2019-12-22,30,False
2019-12-29,50,False
2020-01-05,57,False
2020-01-12,34,False
2020-01-19,66,False
2020-01-26,27,False
2020-02-02,47,False
2020-02-09,60,False
2020-02-16,41,False
2020-02-23,70,False
2020-03-01,77,False
2020-03-08,33,False
2020-03-15,58,False
2020-03-22,59,False
2020-03-29,69,False
2020-04-05,69,False
2020-04-12,74,False
2020-04-19,82,False
2020-04-26,76,False
2020-05-03,89,False
2020-05-10,73,False
2020-05-17,30,True
