date,pintar casa,isPartial
2018-01-07,66,False
2018-01-14,45,False
2018-01-21,0,False
2018-01-28,34,False
2018-02-04,33,False
2018-02-11,34,False
2018-02-18,33,False
2018-02-25,34,False
2018-03-04,34,False
2018-03-11,33,False
2018-03-18,100,False
2018-03-25,0,False
2018-04-01,61,False
2018-04-08,50,False
2018-04-15,35,False
2018-04-22,49,False
2018-04-29,70,False
2018-05-06,0,False
2018-05-13,51,False
2018-05-20,51,False
2018-05-27,0,False
2018-06-03,44,False
2018-06-10,32,False
2018-06-17,60,False
2018-06-24,0,False
2018-07-01,61,False
2018-07-08,37,False
2018-07-15,37,False
2018-07-22,40,False
2018-07-29,44,False
2018-08-05,90,False
2018-08-12,47,False
2018-08-19,46,False
2018-08-26,41,False
2018-09-02,36,False
2018-09-09,35,False
2018-09-16,34,False
2018-09-23,33,False
2018-09-30,34,False
2018-10-07,36,False
2018-10-14,66,False
2018-10-21,67,False
2018-10-28,35,False
2018-11-04,32,False
2018-11-11,45,False
2018-11-18,65,False
2018-11-25,33,False
2018-12-02,0,False
2018-12-09,33,False
2018-12-16,33,False
2018-12-23,41,False
2018-12-30,0,False
2019-01-06,32,False
2019-01-13,53,False
2019-01-20,30,False
2019-01-27,31,False
2019-02-03,81,False
2019-02-10,0,False
2019-02-17,50,False
2019-02-24,33,False
2019-03-03,34,False
2019-03-10,0,False
2019-03-17,68,False
2019-03-24,33,False
2019-03-31,63,False
2019-04-07,48,False
2019-04-14,38,False
2019-04-21,0,False
2019-04-28,66,False
2019-05-05,42,False
2019-05-12,31,False
2019-05-19,30,False
2019-05-26,31,False
2019-06-02,91,False
2019-06-09,63,False
2019-06-16,44,False
2019-06-23,0,False
2019-06-30,52,False
2019-07-07,35,False
2019-07-14,0,False
2019-07-21,38,False
2019-07-28,0,False
2019-08-04,64,False
2019-08-11,0,False
2019-08-18,64,False
2019-08-25,37,False
2019-09-01,0,False
2019-09-08,48,False
2019-09-15,30,False
2019-09-22,59,False
2019-09-29,30,False
2019-10-06,60,False
2019-10-13,44,False
2019-10-20,57,False
2019-10-27,44,False
2019-11-03,56,False
2019-11-10,56,False
2019-11-17,56,False
2019-11-24,41,False
2019-12-01,0,False
2019-12-08,58,False
2019-12-15,29,False
2019-12-22,0,False
2019-12-29,33,False
2020-01-05,0,False
2020-01-12,53,False
2020-01-19,27,False
2020-01-26,82,False
2020-02-02,0,False
2020-02-09,27,False
2020-02-16,27,False
2020-02-23,54,False
2020-03-01,26,False
2020-03-08,25,False
2020-03-15,59,False
2020-03-22,80,False
2020-03-29,37,False
2020-04-05,72,False
2020-04-12,56,False
2020-04-19,29,False
2020-04-26,45,False
2020-05-03,44,False
2020-05-10,33,False
2020-05-17,27,True
