date,arreglos de florales,isPartial
2018-01-07,25,False
2018-01-14,33,False
2018-01-21,16,False
2018-01-28,17,False
2018-02-04,16,False
2018-02-11,25,False
2018-02-18,17,False
2018-02-25,32,False
2018-03-04,16,False
2018-03-11,32,False
2018-03-18,50,False
2018-03-25,19,False
2018-04-01,34,False
2018-04-08,47,False
2018-04-15,16,False
2018-04-22,41,False
2018-04-29,67,False
2018-05-06,24,False
2018-05-13,17,False
2018-05-20,33,False
2018-05-27,32,False
2018-06-03,40,False
2018-06-10,31,False
2018-06-17,17,False
2018-06-24,17,False
2018-07-01,17,False
2018-07-08,17,False
2018-07-15,17,False
2018-07-22,26,False
2018-07-29,17,False
2018-08-05,34,False
2018-08-12,36,False
2018-08-19,27,False
2018-08-26,17,False
2018-09-02,49,False
2018-09-09,33,False
2018-09-16,24,False
2018-09-23,64,False
2018-09-30,40,False
2018-10-07,50,False
2018-10-14,79,False
2018-10-21,56,False
2018-10-28,100,False
2018-11-04,23,False
2018-11-11,40,False
2018-11-18,61,False
2018-11-25,16,False
2018-12-02,34,False
2018-12-09,33,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,18,False
2019-01-06,16,False
2019-01-13,24,False
2019-01-20,22,False
2019-01-27,15,False
2019-02-03,16,False
2019-02-10,32,False
2019-02-17,16,False
2019-02-24,47,False
2019-03-03,64,False
2019-03-10,0,False
2019-03-17,16,False
2019-03-24,24,False
2019-03-31,16,False
2019-04-07,16,False
2019-04-14,49,False
2019-04-21,32,False
2019-04-28,16,False
2019-05-05,16,False
2019-05-12,16,False
2019-05-19,15,False
2019-05-26,46,False
2019-06-02,23,False
2019-06-09,15,False
2019-06-16,16,False
2019-06-23,0,False
2019-06-30,16,False
2019-07-07,24,False
2019-07-14,16,False
2019-07-21,66,False
2019-07-28,25,False
2019-08-04,17,False
2019-08-11,17,False
2019-08-18,33,False
2019-08-25,16,False
2019-09-01,23,False
2019-09-08,22,False
2019-09-15,51,False
2019-09-22,15,False
2019-09-29,15,False
2019-10-06,15,False
2019-10-13,14,False
2019-10-20,36,False
2019-10-27,44,False
2019-11-03,28,False
2019-11-10,14,False
2019-11-17,28,False
2019-11-24,21,False
2019-12-01,15,False
2019-12-08,38,False
2019-12-15,22,False
2019-12-22,16,False
2019-12-29,48,False
2020-01-05,15,False
2020-01-12,41,False
2020-01-19,20,False
2020-01-26,55,False
2020-02-02,14,False
2020-02-09,28,False
2020-02-16,14,False
2020-02-23,27,False
2020-03-01,13,False
2020-03-08,0,False
2020-03-15,13,False
2020-03-22,12,False
2020-03-29,12,False
2020-04-05,19,False
2020-04-12,21,True
