date,Schleifmaschine mieten,isPartial
2018-01-07,0,False
2018-01-14,30,False
2018-01-21,30,False
2018-01-28,59,False
2018-02-04,61,False
2018-02-11,61,False
2018-02-18,0,False
2018-02-25,30,False
2018-03-04,30,False
2018-03-11,30,False
2018-03-18,0,False
2018-03-25,64,False
2018-04-01,32,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,46,False
2018-04-29,64,False
2018-05-06,64,False
2018-05-13,30,False
2018-05-20,49,False
2018-05-27,0,False
2018-06-03,31,False
2018-06-10,30,False
2018-06-17,61,False
2018-06-24,0,False
2018-07-01,30,False
2018-07-08,31,False
2018-07-15,48,False
2018-07-22,0,False
2018-07-29,32,False
2018-08-05,31,False
2018-08-12,0,False
2018-08-19,32,False
2018-08-26,62,False
2018-09-02,31,False
2018-09-09,61,False
2018-09-16,0,False
2018-09-23,31,False
2018-09-30,61,False
2018-10-07,31,False
2018-10-14,0,False
2018-10-21,30,False
2018-10-28,60,False
2018-11-04,59,False
2018-11-11,30,False
2018-11-18,58,False
2018-11-25,30,False
2018-12-02,0,False
2018-12-09,30,False
2018-12-16,30,False
2018-12-23,0,False
2018-12-30,63,False
2019-01-06,28,False
2019-01-13,0,False
2019-01-20,28,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,29,False
2019-02-17,29,False
2019-02-24,29,False
2019-03-03,28,False
2019-03-10,0,False
2019-03-17,44,False
2019-03-24,44,False
2019-03-31,29,False
2019-04-07,29,False
2019-04-14,32,False
2019-04-21,0,False
2019-04-28,58,False
2019-05-05,0,False
2019-05-12,29,False
2019-05-19,43,False
2019-05-26,30,False
2019-06-02,57,False
2019-06-09,44,False
2019-06-16,30,False
2019-06-23,29,False
2019-06-30,29,False
2019-07-07,29,False
2019-07-14,60,False
2019-07-21,31,False
2019-07-28,31,False
2019-08-04,0,False
2019-08-11,29,False
2019-08-18,0,False
2019-08-25,29,False
2019-09-01,0,False
2019-09-08,58,False
2019-09-15,29,False
2019-09-22,28,False
2019-09-29,28,False
2019-10-06,28,False
2019-10-13,28,False
2019-10-20,28,False
2019-10-27,28,False
2019-11-03,26,False
2019-11-10,0,False
2019-11-17,40,False
2019-11-24,27,False
2019-12-01,40,False
2019-12-08,54,False
2019-12-15,28,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,26,False
2020-01-12,38,False
2020-01-19,0,False
2020-01-26,38,False
2020-02-02,26,False
2020-02-09,100,False
2020-02-16,39,False
2020-02-23,25,False
2020-03-01,38,False
2020-03-08,70,False
2020-03-15,23,False
2020-03-22,23,False
2020-03-29,57,False
2020-04-05,0,False
2020-04-12,36,False
2020-04-19,47,False
2020-04-26,69,False
2020-05-03,0,False
2020-05-10,0,False
