date,Stühle beziehen,isPartial
2018-01-07,63,False
2018-01-14,100,False
2018-01-21,63,False
2018-01-28,63,False
2018-02-04,51,False
2018-02-11,64,False
2018-02-18,38,False
2018-02-25,25,False
2018-03-04,25,False
2018-03-11,25,False
2018-03-18,26,False
2018-03-25,81,False
2018-04-01,0,False
2018-04-08,52,False
2018-04-15,67,False
2018-04-22,38,False
2018-04-29,27,False
2018-05-06,27,False
2018-05-13,26,False
2018-05-20,27,False
2018-05-27,26,False
2018-06-03,51,False
2018-06-10,50,False
2018-06-17,25,False
2018-06-24,26,False
2018-07-01,0,False
2018-07-08,26,False
2018-07-15,53,False
2018-07-22,27,False
2018-07-29,26,False
2018-08-05,26,False
2018-08-12,27,False
2018-08-19,39,False
2018-08-26,26,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,52,False
2018-09-23,26,False
2018-09-30,77,False
2018-10-07,64,False
2018-10-14,39,False
2018-10-21,25,False
2018-10-28,50,False
2018-11-04,73,False
2018-11-11,50,False
2018-11-18,60,False
2018-11-25,50,False
2018-12-02,37,False
2018-12-09,0,False
2018-12-16,26,False
2018-12-23,30,False
2018-12-30,79,False
2019-01-06,24,False
2019-01-13,70,False
2019-01-20,23,False
2019-01-27,47,False
2019-02-03,36,False
2019-02-10,72,False
2019-02-17,24,False
2019-02-24,37,False
2019-03-03,47,False
2019-03-10,24,False
2019-03-17,49,False
2019-03-24,97,False
2019-03-31,99,False
2019-04-07,24,False
2019-04-14,26,False
2019-04-21,26,False
2019-04-28,98,False
2019-05-05,24,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,25,False
2019-06-02,24,False
2019-06-09,49,False
2019-06-16,50,False
2019-06-23,25,False
2019-06-30,74,False
2019-07-07,24,False
2019-07-14,50,False
2019-07-21,53,False
2019-07-28,77,False
2019-08-04,39,False
2019-08-11,25,False
2019-08-18,25,False
2019-08-25,61,False
2019-09-01,72,False
2019-09-08,49,False
2019-09-15,74,False
2019-09-22,35,False
2019-09-29,47,False
2019-10-06,23,False
2019-10-13,23,False
2019-10-20,70,False
2019-10-27,69,False
2019-11-03,55,False
2019-11-10,23,False
2019-11-17,56,False
2019-11-24,33,False
2019-12-01,23,False
2019-12-08,34,False
2019-12-15,34,False
2019-12-22,0,False
2019-12-29,61,False
2020-01-05,65,False
2020-01-12,21,False
2020-01-19,54,False
2020-01-26,32,False
2020-02-02,75,False
2020-02-09,0,False
2020-02-16,43,False
2020-02-23,42,False
2020-03-01,52,False
2020-03-08,49,False
2020-03-15,0,False
2020-03-22,48,False
2020-03-29,38,False
2020-04-05,21,False
2020-04-12,41,False
2020-04-19,30,False
2020-04-26,29,False
2020-05-03,49,False
2020-05-10,49,False
